voice,unit_name,favorite,guild_id,catch_copy,unit_id,voice_id,race,age,blood_type,guild,weight,birth_day,self_text,birth_month,height
大桥彩香,初音,和妹妹玩、睡回笼觉、午睡、早睡,6,为了大家使用超能力的睡美人,101201,0,精灵,17,A,森林守卫,46,24,我是初音！ 是有困难的人的同伴！\n遇到困难要随时告诉我喔♪\n我会用我的超……魔、魔法来帮助你的！,12,156
佳村遥,七七香,读书、魔法,13,宅系属性全开的魔法少女,101301,0,魔族,18,O,暮光流星群,55,21,,8,166
水濑祈,香澄,读书、推理,10,头脑清晰的美少女名侦探,101401,0,兽人族,15,AB,自卫团,41,3,test,11,152
国府田麻理子,美里,画绘本,6,母性满溢，大家的温柔「美里老师」,101501,0,精灵,21,O,森林守卫,54,5,test,9,165
上坂堇,铃奈,时尚,14,天真烂漫，充满魅力的知名模特,101601,0,魔族,18,O,月光学院,48,10,哟，秀才~！ 我对汉字和计算\n有点……呃，很不擅长~\n不过啊，时尚方面就交给我吧~！,4,167
高森奈津美,香织,跳舞、空手道,10,总是说「没什么大不了～」的天然呆女孩,101701,0,兽人族,19,A,自卫团,53,7,你好吗！ 唱着跳着，\n情绪高涨起来吧~！\n来，你也一起跳吧~！,7,158
伊藤静,伊绪,恋爱小说、恋爱剧、恋爱漫画鉴赏,14,魅惑众多男性的纯洁女教师,101801,0,魔族,23,B,月光学院,52,14,谢谢你一直帮助我\n我明明比较年长\n却总是依赖你，真抱歉~,8,162
日高里菜,美美,收集可爱的东西,5,唱歌、胡萝卜、兔子我都很喜欢♪,102001,0,兽人族,10,O,小小甜心,21,3,啾啾，好想成为兔子啊♪ \n如果美美变成了兔子，\n就第一个给哥哥看！,4,117
植田佳奈,胡桃,观剧、过家家,9,爱哭又胆小，让人想要保护的女孩,102101,0,人类,12,B,咲恋救济院,40,9,那个，呃……\n我是、胡、胡桃……\n呼、呼诶诶诶……怎、怎么办……\n好、好害羞……对、对不起！,6,150
原纱友里,依里,所有游戏,7,怕生又天真的女孩子,102201,0,魔族,13,O,恶魔伪王国军,40,22,呃、呃……这、这种时候\n应该说什么好呢……\n呜呜，为什么没法好好说话呢……,11,150
芹泽优,绫音,可在室内进行的游戏,9,永远和噗吉在一起！,102301,0,人类,14,B,咲恋救济院,38,10,这孩子叫噗吉\n虽然是武器，可是会说话♪\n是对我来说很重要很重要的朋友~！,5,148
悠木碧,铃莓,服侍,9,为了大小姐而努力的冒失女仆,102501,0,人类,15,O,咲恋救济院,43,12,呜呜……对不起~……\n我又让厨房爆炸了~\n这样真不配当女仆……,12,154
小岩井小鸟,铃,豆沙面包,11,玩乐与睡眠胜过一切的懒洋洋女孩,102601,0,兽人族,17,B,伊丽莎白牧场,42,1,test,1,144
桥本千波,惠理子,实验、裁缝、料理,13,对命中注定之人过于执着的少女,102701,0,魔族,16,B,暮光流星群,43,30,我有个别名叫『破坏狂』……\n不过，没必要害怕\n因为你是我重要的命运之人……,7,154
堀江由衣,咲恋,经营、茶会,9,经营救济院的温柔平民派大小姐,102801,0,精灵,17,A,咲恋救济院,43,4,抠门？ 不，\n我只是以「勤俭节约」的精神\n度过每一天而已！,10,156
日笠阳子,望,舞台鉴赏、跳舞,4,高人气唱跳偶像,102901,0,人类,17,B,慈乐之音,40,24,有朝一日，我会让世界上的人都成为我的粉丝！\n在我成为顶尖偶像之前，\n请为我应援吧♪,1,157
佐藤聪美,妮侬,忍术开发,15,请给我讲讲东国的神秘吧！,103001,0,人类,16,O,纯白之翼 兰德索尔分部,51,31,寿司、艺伎、天妇罗……\n哈唔~！\n东国的文化真棒~！,8,163
大坪由佳,忍,占卜,7,擅长占卜的灵能少女,103101,0,魔族,18,AB,恶魔伪王国军,42,22,我从小就能看到别人\n看不到的东西。现在你后面也有\n一个人、两个人、三个人……好热闹啊,12,157
松嵜丽,秋乃,慈善事业,12,想要成为独当一面的商人的自强千金小姐,103201,0,人类,18,AB,墨丘利财团,45,12,只要和我在一起，\n我就不会让你在金钱上有任何不便！,3,157
新田惠海,真阳,相声,11,使大家展露笑容的搞笑牧场主,103301,0,人类,20,B,伊丽莎白牧场,35,3,我希望能成为可以随时让大家展露笑容的\n最棒艺人！\n一起加油吧！,3,142
今井麻美,由加莉,逛商店,12,纯情而让人放心不下的成年女性,103401,0,精灵,22,A,墨丘利财团,55,16,总是让人看到\n我丢脸的一面，可是这种地方，\n我是不会给除你以外的人看的喔？,3,164
小仓唯,镜华,学习,5,懂礼貌又努力的小小优等生,103601,0,精灵,8,A,小小甜心,21,2,test,2,118
茅原实里,智,剑术、捉弄比自己大的人,8,讲义气又喜欢开玩笑的剑术少女,103701,0,人类,13,A,王宫骑士团（NIGHTMARE）,43,11,test,8,149
小清水亚美,栞,读书、散步,11,喜欢读书的柔弱少女,103801,0,兽人族,14,A,伊丽莎白牧场,40,3,咳咳……\n虽、虽然身体很弱，\n不过至少态度要积极……！\n啊，不过不行……一站起来就头晕……,11,153
花泽香菜,碧,交朋友的模拟训练,6,憧憬「朋友」的森林精灵女孩,104001,0,精灵,13,AB,森林守卫,44,6,直到交到朋友的那天为止……\n我都会在BB团\n一直训练的！,6,158
福原绫香,千歌,各种乐器,4,为了保护人们而歌唱的唱唤士少女,104201,0,人类,17,O,慈乐之音,46,3,为了保护人们的和平，我会使用咏唱之术\n来战斗……最近，也、也有作为偶像\n来参加活动，我还不太习惯那样……,6,163
小松未可子,真琴,做点心,10,大大咧咧、重情义的女孩,104301,0,兽人族,17,O,自卫团,54,9,肚子饿了就告诉我哦\n如果不介意的话\n我会给你做超美味的简餐喔！,8,168
丹下樱,伊莉亚,征服世界,7,旧时统率黑夜的最强吸血鬼,104401,0,魔族,??,A,恶魔伪王国军,50,5,test,5,172
长妻树里,空花,阅读小说,15,最喜欢妄想！ 其实是很害羞的女孩子,104501,0,人类,18,AB,纯白之翼 兰德索尔分部,49,19,我在想你的事\n……让无法反抗的空花做各种事情，\n嘿、嘿嘿嘿……,11,157
沼仓爱美,珠希,与猫玩耍,12,锄强扶弱的猫系少女,104601,0,兽人族,18,AB,墨丘利财团,48,1,赚钱的事情请务必\n告诉我喵！ 如果能赚钱的话 \n1金币也不会放过，这是我的信条喵~♪,3,158
川澄绫子,纯,格斗技、泡澡,8,不以真面目示人，冷静沉着的女性骑士,104701,0,人类,25,A,王宫骑士团（NIGHTMARE）,50,25,？？？,10,171
田所梓,美冬,佣兵等兼职,12,于公于私都优先效率的佣兵少女,104801,0,人类,20,O,墨丘利财团,49,11,让我成为你的师父吧！\n当然，不是免费的\n我会收时薪的哦,11,163
生天目仁美,静流,所有家务事,3,姐姐我会照顾你喔！,104901,0,人类,18,O,拉比林斯,54,24,日常生活就由姐姐来照顾吧！\n料理、洗衣服、打扫都是\n洗澡时也会给你擦背喔！,10,168
久野美咲,美咲,时尚杂志鉴赏、收集化妆品,14,有点早熟，热衷恋爱的女生,105001,0,魔族,11,A,月光学院,22,3,是你在叫我吗？\n我会用淑女的魅力让你着迷的！,1,120
三石琴乃,深月,研究、实验,13,爱好实验的危险科学研究者,105101,0,人类,27,A,暮光流星群,53,7,我是个科学研究者，\n不过对医疗方面也比较了解，\n要是生病了就让我来给你看看吧,3,166
德井青空,莉玛,打理毛发、聊天,11,充满少女心的毛茸茸小动物,105201,0,兽人族,18,A,伊丽莎白牧场,100,14,我是很普通的、随处可见的女生喔！\n除、除了外表以外……,3,150
辻步美,莫妮卡,去点心店,15,外表和内在都是小孩子的异国军人,105301,0,人类,18,A,纯白之翼 兰德索尔分部,33,28,「白翼」，纯白之翼……\n我会不辱此名，飞上高空，\n华丽地打倒敌人给别人看！,7,140
木户衣吹,纺希,裁缝,4,喜爱时尚的可爱女生,105401,0,人类,14,AB,慈乐之音,45,7,test,9,153
大关英里,步美,观察,15,始终专情的纯情少女,105501,0,精灵,16,O,纯白之翼 兰德索尔分部,43,7,test,4,155
佐藤利奈,流夏,钓鱼,13,充满人情味的风流潇洒「大姐头」,105601,0,人类,25,B,暮光流星群,54,11,test,7,167
金元寿子,姬塔,冒险、聊天,,梦想着去天空冒险的骑空士少女,105701,0,人类,17,O,？？？,45,10,我很想成为独当一面的骑空士呢\n希望有一天能像父亲一样成为骑空士，\n去天空的尽头旅行。\n这是我的梦想！,3,156
M・A・O,佩可莉姆,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,105801,0,人类,17,O,美食殿堂,46,31,那、那个……有没有什么吃的？\n肚子饿扁了……,3,156
伊藤美来,可可萝,冥想、动植物的养育,1,仰慕主人的小小引导者,105901,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者\n我会诚心诚意地恪尽职守，\n让主人满意的,5,140
立花理香,凯露,和猫玩耍,1,倒在路边的神秘猫耳魔法师,106001,0,兽人族,14,A,美食殿堂,39,2,干嘛磨磨蹭蹭的\n真没办法，我来帮你吧\n听好了？ 要感谢我喔！,9,152
潘惠美,矛依未,冒险，回忆,,彷徨的谜之少女,106101,0,人类,16,O,？？？,40,11,没事的，我……就算独自一个人。没事的，我已经习惯了,8,148
优木加奈,亚里莎,收集好看的叶子,,想成为森林守卫的精灵少女,106301,0,精灵,15,O,？？？,42,17,,6,155
近藤玲奈,雪菲,读书、伸展,1,丧失记忆的龙族少女,106401,0,龙族,14,B,美食殿堂,???,14,,12,147
小市真琴,嘉夜,格斗技,17,用拳头说话的龙族打手少女,106501,0,龙族,16,B,龙族据点,???,25,,6,156
藤田茜,祈梨,游戏,17,伶牙俐齿的胆小龙族,106601,0,龙族,13,AB,龙族据点,???,29,,9,145
大西沙织,帆稀,绘画、读书,17,露出妖艳的微笑看透一切的卧龙头领,106701,0,龙族,25,O,龙族据点,???,17,,4,168
泽城美雪,菈比莉斯塔,观察人类,3,秘密结社拉比林斯的“迷宫女王”,106801,0,人类,25,AB,拉比林斯,??,25,,7,160
苍井翔太,霸瞳皇帝,占卜、支配,,笼罩着谜团的兰德索尔之主,106901,0,兽人族,29,AB,？？？,??,1,,7,166
井口裕香,似似花,模仿、艺术鉴赏,,隐居在研究所的稳重大姐姐,107001,0,精灵,24,O,？？？,??,24,,3,149
高桥智秋,克莉丝提娜,与强敌斗争,8,旁若无人的王宫骑士团副团长,107101,0,人类,27,O,王宫骑士团（NIGHTMARE）,??,7,,2,165
M・A・O,佩可莉姆（夏日）,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,107501,0,人类,17,O,美食殿堂,46,31,那、那个……有没有什么吃的？\n肚子饿扁了……,3,156
伊藤美来,可可萝（夏日）,冥想、动植物的养育,1,仰慕主人的小小引导者,107601,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者\n我会诚心诚意地恪尽职守，\n让主人满意的,5,140
悠木碧,铃莓（夏日）,服侍,9,为了大小姐而努力的冒失女仆,107701,0,人类,15,O,咲恋救济院,43,12,呜呜……对不起~……\n我又让厨房爆炸了~\n这样真不配当女仆……,12,154
立花理香,凯露（夏日）,和猫玩耍,1,倒在路边的神秘猫耳魔法师,107801,0,兽人族,14,A,美食殿堂,39,2,干嘛磨磨蹭蹭的\n真没办法，我来帮你\n听好了？ 要感谢我喔！,9,152
沼仓爱美,珠希（夏日）,与猫玩耍,12,锄强扶弱的猫系少女,107901,0,兽人族,18,AB,墨丘利财团,48,1,可以赚钱的事情要务必\n告诉我喵！ 能赚的话，就连 \n一个金币也不放过，这是我的信条喵~♪,3,158
田所梓,美冬（夏日）,佣兵等兼职,12,于公于私都优先效率的佣兵少女,108001,0,人类,20,O,墨丘利财团,49,11,我来当你的师父！\n当然，不是免费的\n我会收时薪的,11,163
大坪由佳,忍（万圣节）,占卜,7,擅长占卜的灵能少女,108101,0,魔族,18,AB,恶魔伪国王军,42,22,我小时候就能看到\n其他人看不见的东西。现在你身后就有\n一个人、二个人、三个人……真热闹呢,12,157
雨宫天,宫子（万圣节）,吃布丁,7,最喜欢布丁的幽灵女孩,108201,0,魔族,14,B,恶魔伪国王军,32,23,我不明白深奥的事~\n只要每天都能吃到布丁，\n当幽灵也挺好的~,1,130
久野美咲,美咲（万圣节）,鉴赏时尚杂志、收集化妆品,14,有点早熟，热衷恋爱的女生,108301,0,魔族,11,A,月光学院,22,3,你叫我了？\n我会用淑女的魅力让你着迷的！,1,120
福原绫香,千歌（圣诞节）,各种乐器,4,为了保护人们而歌唱的唱唤士少女,108401,0,人类,17,O,慈乐之音,46,3,为了保护人们的和平，我会使用咏唱之术\n来战斗。……最近，也、也有作为偶像\n参加活动，不过我还不太习惯那样……,6,163
植田佳奈,胡桃（圣诞节）,观剧、过家家,9,爱哭又胆小，让人想要保护的女孩,108501,0,人类,12,B,咲恋救济院,40,9,那个，呃……\n我是、胡、胡桃……\n呼、呼诶诶诶……怎、怎么办……\n好、好害羞……对、对不起！,6,150
芹泽优,绫音（圣诞节）,可在室内进行的游戏,9,永远和噗吉在一起！,108601,0,人类,14,B,咲恋救济院,38,10,这孩子叫噗吉\n虽然是武器，可是会说话♪\n是我很重要很重要的朋友~！,5,148
东山奈央,日和莉（新年）,帮助别人、应援,2,最喜欢帮助他人！ 积极向上的格斗女孩,108701,0,兽人族,16,A,破晓之星,44,27,你好！　我是日和莉！\n如果有人有困难，我就去帮他！\n不介意的话，你也一起来吧？,8,155
种田梨沙,优衣（新年）,料理、观察人类,2,擅长战斗支援的善良少女,108801,0,人类,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n援助大家的！,4,158
早见沙织,怜（新年）,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,108901,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分\n作为朝塔顶进发的同伴\n一起加油吧。请多指教,1,163
桥本千波,惠理子（情人节）,实验、裁缝、料理,13,对命中注定之人过于执着的少女,109001,0,魔族,16,B,暮光流星群,43,30,我有个别名叫『破坏狂』……\n不过，没必要害怕\n因为您是我重要的命运之人……,7,154
生天目仁美,静流（情人节）,所有家务事,3,姐姐我会照顾你喔！,109101,0,人类,18,O,拉比林斯,54,24,日常生活就由姐姐我来照顾吧！\n不管是料理，洗衣服，还是打扫\n洗澡时也会给你擦背喔！,10,168
日笠阳子,安,读书,,和英灵定下契约的玛纳利亚天才公主,109201,0,人类,17,AB,？？？,55,1,我是安！姑且算是玛纳利亚王国的\n第一公主……但你不需要太拘谨，\n我希望你能放轻松，和我友好相处！,12,156
古山贵实子,露,吃饭、睡觉,,玛纳利亚魔法学院的新生,109301,0,人类,15,O,？？？,45,4,露就是露！在玛纳利亚魔法学院\n念书。你也愿意成为\n露的朋友吗？,2,144
福原绫香,古蕾雅,弹钢琴,,拥有超越常人力量的善良龙族公主,109401,0,半人半龙,17,B,？？？,67,3,我叫古蕾雅。同时继承了\n龙与人的血脉……\n那个……请、请多关照。,11,167
长妻树里,空花（大江户）,阅读小说,15,最喜欢妄想！ 其实是很害羞的女孩子,109501,0,人类,18,AB,纯白之翼　兰德索尔分部,49,19,我在想着你\n……对无法反抗的空花这样那样，\n嘿、嘿嘿嘿……,11,157
佐藤聪美,妮侬（大江户）,忍术开发,15,请给我讲讲东国的神秘吧！,109601,0,人类,16,O,纯白之翼　兰德索尔分部,51,31,寿司、艺伎、天妇罗……\n哈唔～\n东国的文化真棒！,8,163
水濑祈,雷姆,鉴赏戏剧、诗歌散文,,如有鬼助的万能妹妹女仆,109701,0,鬼族,17,?,？？？,??,2,,2,154
村川梨衣,拉姆,读书,,毒舌的鬼族姐姐女仆,109801,0,鬼族,17,?,？？？,??,2,,2,154
高桥李依,爱蜜莉雅,梳理帕克的毛、学习,,银发的文静半精灵,109901,0,半精灵,114,?,？？？,??,23,,9,164
上坂堇,铃奈（夏日）,时尚,14,天真烂漫，充满魅力的知名模特,110001,0,魔族,18,O,月光学院,48,10,秀才，你好呀～　我对汉字和计算\n有点……呃，很不擅长～\n不过啊，时尚方面就交给我吧～,4,167
伊藤静,伊绪（夏日）,恋爱小说、恋爱剧、恋爱漫画鉴赏,14,魅惑众多男性的纯洁女教师,110101,0,魔族,23,B,月光学院,52,14,谢谢你一直帮助我\n我明明比较年长\n却总是依赖你，真抱歉～,8,162
久野美咲,美咲（夏日）,时尚杂志鉴赏、收集化妆品,14,有点早熟，喜欢恋爱的女生,110201,0,魔族,11,A,月光学院,22,3,,1,120
堀江由衣,咲恋（夏日）,经营、茶会,9,经营救济院的温柔平民派大小姐,110301,0,精灵,17,A,咲恋救济院,43,4,抠门？　不，\n我只是以“勤俭节约”的精神\n度过每一天而已！,10,156
小松未可子,真琴（夏日）,做点心,10,大大咧咧、重情义的女孩,110401,0,兽人族,17,O,自卫团,54,9,肚子饿了就告诉我哦\n如果不介意吃得简单点的话\n我会给你做超美味的简餐喔！,8,168
高森奈津美,香织（夏日）,跳舞、空手道,10,总是说「没什么大不了～」的天然呆女孩,110501,0,兽人族,19,A,自卫团,53,7,哈喽☆　唱着跳着，\n情绪高涨起来吧～\n来，你也一起跳舞吧！,7,158
内田真礼,真步（夏日）,空想、收集毛绒玩偶,10,真步真步王国的公主,110601,0,兽人族,16,O,自卫团,42,22,我是真步真步王国的公主，真步公主哟！\n你的表情怎么这么奇怪啊？\n真步真步王国是一个很遥远的国度哦？,9,155
花泽香菜,碧（插班生）,交朋友的模拟训练,6,憧憬「朋友」的森林精灵女孩,110701,0,精灵,13,AB,森林守卫,44,6,,6,158
种崎敦美,克罗依,飞镖,16,在城里长大的阴暗系精灵,110801,0,精灵,17,O,圣特蕾莎女子学院（好朋友社）,42,7,,8,154
佐仓绫音,千爱瑠,跳舞、卡拉OK,16,自由奔放无拘无束的现代女孩,110901,0,人类,16,O,圣特蕾莎女子学院（好朋友社）,46,15,,9,156
小原好美,优妮,读书,16,沉睡在书库里的小小贤者,111001,0,人类,18,O,圣特蕾莎女子学院（好朋友社）,36,28,,2,142
小仓唯,镜华（万圣节）,学习,5,懂礼貌又努力的小小优等生,111101,0,精灵,8,A,小小甜心,21,2,,2,118
诸星堇,未奏希（万圣节）,恶作剧、探险,5,喜欢探险的恶作剧之王,111201,0,人类,9,O,小小甜心,27,10,恶作剧就交给我吧！\n哥哥，小心别受骗喔♪,8,128
日高里菜,美美（万圣节）,收集可爱的东西,5,唱歌、胡萝卜、兔子我都很喜欢♪,111301,0,兽人族,10,O,小小甜心,21,3,蹦蹦蹦，好想成为兔子啊♪　\n如果美美变成了兔子，\n就第一个给哥哥看！,4,117
小仓唯,露娜,寻找“朋友”,,寻找朋友的亡灵术士少女,111401,0,人类,??,?,？？？,28,8,,1,142
高桥智秋,克莉丝提娜（圣诞节）,与强敌斗争,8,旁若无人的王宫骑士团副团长,111501,0,人类,27,O,王宫骑士团（NIGHTMARE）,??,7,,2,165
日笠阳子,望（圣诞节）,舞台鉴赏、跳舞,4,高人气唱跳偶像,111601,0,人类,17,B,慈乐之音,40,24,,1,157
丹下樱,伊莉亚（圣诞节）,征服世界,7,旧时统率黑夜的最强吸血鬼,111701,0,魔族,??,A,恶魔伪王国军,50,5,,5,172
M·A·O,佩可莉姆（新年）,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,111801,0,人类,17,O,美食殿堂,46,31,那、那个……有没有什么吃的？\n肚子饿扁了……,3,156
伊藤美来,可可萝（新年）,冥想、动植物的养育,1,仰慕主人的小小引导者,111901,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者，\n我会诚心诚意、恪尽职守，\n让主人满意的,5,140
立花理香,凯露（新年）,和猫玩耍,1,倒在路边的神秘猫耳魔法师,112001,0,兽人族,14,A,美食殿堂,39,2,干嘛磨磨蹭蹭的\n真没办法，我来帮你吧\n听好了？　要感谢我喔！,9,152
悠木碧,铃莓（新年）,服侍,9,为了大小姐而努力的糊涂女仆,112101,0,人类,15,O,咲恋救济院,43,12,呜呜……对不起～\n我又让厨房爆炸了～\n这样真不配当女仆……,12,154
水濑祈,香澄（魔法少女）,读书、推理,10,头脑清晰的美少女名侦探,112201,0,兽人族,15,AB,自卫团,41,3,,11,152
小清水亚美,栞（魔法少女）,读书、散步,11,喜欢读书的柔弱少女,112301,0,兽人族,14,A,伊丽莎白牧场,40,3,咳咳……虽、虽然身体很弱，\n不过至少态度要积极！\n啊，不过不行……一站起来就头晕……,11,153
大桥彩香,卯月（偶像大师）,与朋友长谈,100,绽放的笑容！　渴望成为偶像的女孩子,112401,0,人类,17,O,New Generations,45,24,,4,159
福原绫香,凛（偶像大师）,遛狗,100,冷酷美丽的「苍之剑士」,112501,0,人类,15,B,New Generations,44,10,,8,165
原纱友里,未央（偶像大师）,购物,100,以超级明星为目标的活力女生☆☆★,112601,0,人类,15,B,New Generations,46,1,,12,161
小岩井小鸟,铃（游骑兵）,豆沙面包,11,玩乐与睡眠胜过一切的懒洋洋女孩,112701,0,兽人族,17,B,伊丽莎白牧场,42,1,,1,144
新田惠海,真阳（游骑兵）,相声,11,使大家展露笑容的搞笑牧场主,112801,0,人类,20,B,伊丽莎白牧场,35,3,我希望能成为可以随时让大家展露笑容的\n最棒艺人！\n一起加油吧！,3,142
阿澄佳奈,璃乃（仙境）,裁缝,3,黏人，滔滔不绝的妹妹系少女,112901,0,人类,15,A,拉比林斯,44,25,虽然你可能不记得了……\n我是你的妹妹喔！\n所以，可以叫你哥哥吗？,8,156
大关英里,步美（仙境）,观察,15,始终专情的纯情少女,113001,0,精灵,16,O,纯白之翼　兰德索尔分部,43,7,,4,155
佐藤利奈,流夏（夏日）,钓鱼,13,充满人情味的风流潇洒「大姐头」,113101,0,人类,25,B,暮光流星群,54,11,,7,167
高野麻美,杏奈（夏日）,小说执笔,13,相信有前世的中二病患者，「疾风之冥姬」,113201,0,魔族,17,A,暮光流星群,45,5,听好了，绝对别叫我的真名喔？\n要时常提防「机关」的耳目\n这是生存之道！,7,159
佳村遥,七七香（夏日）,读书、魔法,13,宅系属性全开的魔法少女,113301,0,魔族,18,O,暮光流星群,55,21,,8,166
大桥彩香,初音（夏日）,和妹妹玩、睡回笼觉、午睡、早睡,6,为了大家使用超能力的睡美人,113401,0,精灵,17,A,森林守卫,46,24,我是初音！　是有困难的人的同伴！\n遇到困难要随时告诉我喔♪\n我会用我的超……魔、魔法来帮助你的！,12,156
国府田麻理子,美里（夏日）,画绘本,6,母性满溢，大家的温柔「美里老师」,113501,0,精灵,21,O,森林守卫,54,5,,9,165
川澄绫子,纯（夏日）,格斗技、泡澡,8,不以真面目示人，冷静沉着的女性骑士,113601,0,人类,25,A,王宫骑士团（NIGHTMARE）,50,25,,10,171
浅仓杏美,茜里（天使）,萨克斯,7,擅长撒娇的受欢迎之人,113701,0,魔族,13,O,恶魔伪王国军,42,22,茜里还有很多不懂的事……\n所以，今后\n请多指教喔，哥哥！,11,150
原纱友里,依里（天使）,所有游戏,7,怕生又天真的女孩子,113801,0,魔族,13,O,恶魔伪王国军,40,22,呃、呃……这、这种时候\n应该说什么好呢……\n呜呜，为什么没法好好说话呢……,11,150
木户衣吹,纺希（万圣节）,裁缝,4,喜爱时尚的可爱女生,113901,0,人类,14,AB,慈乐之音,45,7,,9,153
早见沙织,怜（万圣节）,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,114001,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分\n作为一起朝塔顶进发的同伴\n加油吧。请多指教。,1,163
下田麻美,茉莉（万圣节）,扮演英雄,8,憧憬英雄的少女见习骑士,114101,0,兽人族,12,O,王宫骑士团（NIGHTMARE）,40,25,,11,146
辻步美,莫妮卡（魔法少女）,去点心店,15,外表和内在都是小孩子的异国军人,114201,0,人类,18,A,纯白之翼　兰德索尔分部,33,28,「白翼」，纯白之翼……\n我会不辱此名，飞上高空，\n华丽地打倒敌人给别人看！,7,140
茅原实里,智（魔法少女）,剑术、捉弄比自己大的人,8,讲义气又喜欢开玩笑的剑术少女,114301,0,人类,13,A,王宫骑士团（NIGHTMARE）,43,11,,8,149
松嵜丽,秋乃（圣诞节）,慈善事业,12,想要成为独当一面的商人的自强千金小姐,114401,0,人类,18,AB,墨丘利财团,45,12,只要和我在一起，\n我就不会让你在金钱上有任何不便！,3,157
堀江由衣,咲恋（圣诞节）,经营、茶会,9,经营救济院的温柔平民派大小姐,114501,0,精灵,17,A,咲恋救济院,43,4,抠门？　不，\n我只是以「勤俭节约」的精神\n度过每一天而已！,10,156
今井麻美,由加莉（圣诞节）,逛商店,12,纯情而让人放心不下的成年女性,114601,0,精灵,22,A,墨丘利财团,55,16,总是让人看到\n我丢脸的一面，可是这种地方，\n我是不会给除你以外的人看的喔？,3,164
潘惠美,矛依未（新年）,冒险，回忆,,彷徨的谜之少女,114701,0,人类,16,O,？？？,40,11,没事的，我……就算独自一个人。没事的，我已经习惯了,8,148
井口裕香,似似花（新年）,模仿、艺术鉴赏,,隐居在研究所的稳重大姐姐,115001,0,精灵,24,O,？？？,??,24,,3,149
伊藤美来,可可萝（礼服）,冥想、动植物的养育,1,仰慕主人的小小引导者,115501,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者\n我会诚心诚意地恪尽职守，\n让主人满意的,5,140
种田梨沙,优衣（礼服）,料理、观察人类,2,擅长战斗支援的善良少女,115601,0,人类,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n支援大家的！,4,158
水濑祈,香澄（夏日）,读书、推理,10,头脑清晰的美少女名侦探,115701,0,兽人族,15,AB,自卫团,41,3,,11,152
