main_skill_lv_2,rarity,dodge,name,energy_recovery_rate,energy_reduce_rate,break_durability,main_skill_lv_4,physical_critical,main_skill_lv_10,main_skill_lv_1,life_steal,resist_status_id,ex_skill_lv_2,main_skill_lv_8,main_skill_lv_9,ex_skill_lv_5,magic_str,wave_energy_recovery,unit_id,atk,magic_critical,def,unique_equipment_flag_1,accuracy,union_burst_level,ex_skill_lv_4,main_skill_lv_6,wave_hp_recovery,main_skill_lv_3,enemy_id,main_skill_lv_7,level,ex_skill_lv_3,virtual_hp,physical_penetrate,magic_def,hp_recovery_rate,hp,promotion_level,main_skill_lv_5,magic_penetrate,ex_skill_lv_1,resist_variation_id
304,6,36,胡桃的暗影,28,4,0,304,365,0,304,0,200000001,0,0,0,0,0,0,602101,34960,0,2305,1,42,304,0,0,0,304,810101301,0,304,0,0,0,2367,59,12642341,32,304,0,0,0
3040,0,0,啫喱怪,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,39832,0,252600,0,0,915,0,42,3040,0,0,0,3040,810101302,0,304,0,0,0,1373,0,13680314,1,3040,0,0,0
304,5,0,七七香（夏日）的暗影,20,29,0,304,0,0,304,0,200000001,0,0,0,0,55499,0,613301,0,1023,571,1,42,304,0,0,0,304,810101303,0,304,0,0,0,857,146,10594265,32,304,0,0,0
304,5,6,依里（天使）的暗影,23,18,0,304,0,0,304,0,200000001,0,0,0,0,40965,0,613801,0,201,1849,1,42,304,0,0,0,304,810101304,0,304,0,0,0,2734,1580,11357835,32,304,0,0,0
3040,0,0,淘气恶魔,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,53440,0,256300,0,0,458,0,42,3040,0,0,0,3040,810101305,0,304,0,0,0,687,0,13860738,1,3040,0,0,0
3050,0,0,上位兽人,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,252900,11384,0,918,0,42,3050,0,0,0,3050,810101401,0,305,0,0,0,2295,0,14485103,1,3050,0,0,0
3050,0,0,丛林守护者,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,251300,12749,0,918,0,42,3050,0,0,0,3050,810101402,0,305,0,0,0,2295,0,14412407,1,3050,0,0,0
305,6,21,佩可莉姆的暗影,26,5,0,305,493,0,305,0,200000001,0,0,0,0,0,0,605802,28176,0,2544,1,42,305,0,0,0,305,810101403,0,305,0,0,0,2358,141,12722511,32,305,0,0,0
305,5,0,凯露（新年）的暗影,24,17,0,305,0,0,305,0,200000001,0,0,0,0,68142,0,612001,0,2268,395,1,42,305,0,0,0,305,810101404,0,305,0,0,0,459,45,9549941,32,305,0,0,0
3050,0,0,淘气恶魔,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,53438,0,256300,0,0,459,0,42,3050,0,0,0,3050,810101405,0,305,0,0,0,689,0,13479043,1,3050,0,0,0
3050,0,0,上位兽人,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,252900,11384,0,918,0,42,3050,0,0,0,3050,810101501,0,305,0,0,0,2295,0,14708223,1,3050,0,0,0
3050,0,0,野性角鹿,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,251600,11507,0,1224,0,42,3050,0,0,0,3050,810101502,0,305,0,0,0,1836,0,14428666,1,3050,0,0,0
3050,0,0,丛林守护者,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,251300,12749,0,918,0,42,3050,0,0,0,3050,810101503,0,305,0,0,0,2295,0,14635506,1,3050,0,0,0
305,5,12,空花（大江户）的暗影,19,20,0,305,0,0,305,0,200000001,0,0,0,0,27063,0,609501,0,120,2237,1,42,305,0,0,0,305,810101504,0,305,0,0,0,3207,208,12183422,32,305,0,0,0
305,6,0,美咲的暗影,29,17,0,305,0,0,305,0,200000001,0,0,0,0,72998,0,605001,0,2341,467,1,42,305,0,0,0,305,810101505,0,305,0,0,0,574,45,10490545,32,305,0,0,0
305,6,12,莉玛的暗影,19,6,0,305,135,0,305,0,200000001,0,0,0,0,0,0,605202,26315,0,3503,1,42,305,0,0,0,305,810101601,0,305,0,0,0,2506,24,13592091,32,305,0,0,0
305,6,20,日和莉的暗影,49,15,0,305,2197,0,305,0,200000001,0,0,0,0,0,0,600101,62513,0,875,1,62,305,0,0,0,305,810101602,0,305,0,0,0,769,20,12013495,32,305,0,0,0
305,6,13,由加莉的暗影,26,5,0,305,575,0,305,0,200000001,0,0,0,0,0,0,603401,32893,0,2021,1,42,305,0,0,0,305,810101603,0,305,0,0,0,2881,2640,12986070,32,305,0,0,0
3050,0,0,流浪乌鸦,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,256100,44918,0,459,0,42,3050,0,0,0,3050,810101604,0,305,0,0,0,689,0,14602120,1,3050,0,0,0
3050,0,0,洞穴猿人,0,0,0,3050,0,0,3050,0,200000001,0,0,0,0,0,0,256800,45170,0,459,0,42,3050,0,0,0,3050,810101605,0,305,0,0,0,689,0,14556578,1,3050,0,0,0
3060,0,0,野性角鹿,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,251600,11507,0,1228,0,42,3060,0,0,0,3060,810101701,0,306,0,0,0,1842,0,14908947,1,3060,0,0,0
3060,0,0,持盾哥布林,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,251200,12624,0,1535,0,42,3060,0,0,0,3060,810101702,0,306,0,0,0,1382,0,14882731,1,3060,0,0,0
3060,0,0,会动的战士雕像,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,250900,12994,0,1842,0,42,3060,0,0,0,3060,810101703,0,306,0,0,0,1842,0,14280959,1,3060,0,0,0
306,6,29,望的暗影,25,4,0,306,565,0,306,0,200000001,0,0,0,0,0,0,602901,31261,0,2976,1,45,306,0,0,0,306,810101704,0,306,0,0,0,2286,49,12876732,32,306,0,0,0
306,6,17,莫妮卡的暗影,28,2,0,306,1400,0,306,0,200000001,0,0,0,0,0,0,605301,52650,0,1451,1,58,306,0,0,0,306,810101705,0,306,0,0,0,1436,22,12068561,32,306,0,0,0
3060,0,0,蓝色魔像,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,250800,11131,0,614,0,42,3060,0,0,0,3060,810101801,0,306,0,0,0,3684,0,15938297,1,3060,0,0,0
3060,0,0,洞穴蝙蝠,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,47677,0,254900,0,0,768,0,42,3060,0,0,0,3060,810101802,0,306,0,0,0,1152,0,13894026,1,3060,0,0,0
306,6,0,七七香的暗影,34,16,0,306,0,0,306,0,200000001,0,0,0,0,69248,0,601301,0,2176,600,1,42,306,0,0,0,306,810101803,0,306,0,0,0,761,49,11113683,32,306,0,0,0
3060,0,0,洞穴蜗牛,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,1929,0,256900,0,0,921,0,42,3060,0,0,0,3060,810101804,0,306,0,0,0,1382,918,14385049,1,3060,0,0,0
306,6,0,镜华的暗影,29,17,0,306,0,0,306,0,200000001,0,0,0,0,60736,0,603602,0,2462,482,1,42,306,0,0,0,306,810101805,0,306,0,0,0,586,60,11244578,32,306,0,0,0
3060,0,0,上位兽人,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,252900,11383,0,921,0,42,3060,0,0,0,3060,810101901,0,306,0,0,0,2303,0,15594947,1,3060,0,0,0
3060,0,0,野性角鹿,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,0,0,251600,11507,0,1228,0,42,3060,0,0,0,3060,810101902,0,306,0,0,0,1842,0,15315245,1,3060,0,0,0
306,5,13,美冬（工作服）的暗影,29,0,0,306,1287,0,306,0,200000001,0,0,0,0,0,0,616901,55211,0,1137,1,42,306,0,0,0,306,810101903,0,306,0,0,0,969,35,11633792,32,306,0,0,0
306,5,0,莱拉耶尔的暗影,24,17,0,306,0,0,306,0,200000001,0,0,0,0,69482,0,626501,0,2108,470,0,42,306,0,0,0,306,810101904,0,306,0,0,0,522,45,10560197,32,306,0,0,0
3060,0,0,嗜睡猫头鹰,0,0,0,3060,0,0,3060,0,200000001,0,0,0,0,23960,0,255700,0,0,461,0,42,3060,0,0,0,3060,810101905,0,306,0,0,0,691,0,14563726,1,3060,0,0,0
5000,1,0,双足飞龙,50,0,0,0,0,0,0,0,300000008,0,0,0,0,0,0,302106,40000,0,1200,0,60,0,0,0,0,750,810102001,0,313,0,0,0,800,0,137000000,1,650,0,0,0
125,1,0,爆发敌人,0,0,0,0,0,0,100,0,300000008,0,0,0,0,0,0,217300,0,0,0,0,100,0,0,5000,0,125,810102002,150,313,0,0,0,0,0,1000000000,1,0,0,0,0
0,1,0,爆发敌人,0,0,0,250,0,0,0,0,300000008,0,0,0,0,0,0,217301,0,0,0,0,100,0,0,0,0,0,810102003,0,313,0,0,0,0,0,1000000000,1,0,0,0,0
5000,1,0,爆发敌人,0,0,0,0,0,0,0,0,300000008,0,0,0,0,0,0,217302,0,0,0,0,100,0,0,0,0,0,810102004,0,313,0,0,0,0,0,1000000000,1,0,0,0,0
3070,0,0,暴君巨龟,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,251100,12593,0,1540,0,42,3070,0,0,0,3070,810102101,0,307,0,0,0,2310,0,13991776,1,3070,0,0,0
3070,0,0,兽人,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,252800,13160,0,1540,0,42,3070,0,0,0,3070,810102102,0,307,0,0,0,1386,0,14548906,1,3070,0,0,0
3070,0,0,野性角鹿,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,251600,13449,0,1232,0,42,3070,0,0,0,3070,810102103,0,307,0,0,0,1848,0,14501858,1,3070,0,0,0
307,6,17,秋乃的暗影,28,0,0,307,1474,0,307,0,200000001,0,0,0,0,0,0,603201,68716,0,1169,1,46,307,0,0,0,307,810102104,0,307,0,0,0,1060,45,11751797,32,307,0,0,0
307,5,28,望（圣诞节）的暗影,20,4,0,307,652,0,307,0,200000001,0,0,0,0,0,0,611602,43415,0,2911,1,42,307,0,0,0,307,810102105,0,307,0,0,0,1986,115,11347293,32,307,0,0,0
3070,0,200,小型哥布林,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,250300,15013,0,308,0,42,3070,0,0,0,3070,810102201,0,307,0,0,0,1386,0,17103124,1,3070,0,0,0
307,5,0,茜里（天使）的暗影,26,17,0,307,0,0,307,0,200000001,0,0,0,0,92513,0,613701,0,2354,435,1,42,307,0,0,0,307,810102202,0,307,0,0,0,550,45,9910033,32,307,0,0,0
3070,0,0,垂耳翼兔,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,61709,0,256000,0,0,462,0,42,3070,0,0,0,3070,810102203,0,307,0,0,0,693,0,13954587,1,3070,0,0,0
307,5,3,香澄（魔法少女）的暗影,19,21,0,307,0,0,307,0,200000001,0,0,0,0,60140,0,612201,0,518,2098,1,42,307,0,0,0,307,810102204,0,307,0,0,0,1694,153,10551257,32,307,0,0,0
3070,0,0,铃兰虫,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,33526,0,258400,0,0,308,0,42,3070,0,0,0,3070,810102205,0,307,0,0,0,462,921,16052956,1,3070,0,0,0
3070,0,0,会动的战士雕像,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,250900,15155,0,1848,0,42,3070,0,0,0,3070,810102301,0,307,0,0,0,1848,0,15452987,1,3070,0,0,0
307,5,3,深月（大江户）的暗影,23,1,0,307,1951,0,307,0,200000001,0,0,0,0,0,0,617501,63734,0,784,1,42,307,0,0,0,307,810102302,0,307,0,0,0,735,30,12291579,32,307,0,0,0
307,5,5,碧（插班生）的暗影,33,0,0,307,1900,0,307,0,200000001,0,0,0,0,0,0,610701,71637,0,579,1,65,307,0,0,0,307,810102303,0,307,0,0,0,781,30,11043639,32,307,0,0,0
307,5,3,栞（魔法少女）的暗影,33,0,0,307,2196,0,307,0,200000001,0,0,0,0,0,0,612301,72111,0,529,1,65,307,0,0,0,307,810102304,0,307,0,0,0,729,30,10646520,32,307,0,0,0
3070,0,0,气球鸟,0,0,0,3070,0,0,3070,0,200000001,0,0,0,0,0,0,257600,2171,0,924,0,42,3070,0,0,0,3070,810102305,0,307,0,0,0,1386,921,14958707,1,3070,0,0,0
3080,0,0,沙铠野猪,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,0,0,253200,14156,0,1236,0,42,3080,0,0,0,3080,810102401,0,308,0,0,0,1854,0,14776441,1,3080,0,0,0
3080,0,0,丛林守护者,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,0,0,251300,14870,0,927,0,42,3080,0,0,0,3080,810102402,0,308,0,0,0,2318,0,15016012,1,3080,0,0,0
308,5,12,空花（大江户）的暗影,19,20,0,308,0,0,308,0,200000001,0,0,0,0,31129,0,609501,0,122,2321,1,42,308,0,0,0,308,810102403,0,308,0,0,0,3381,208,12472794,32,308,0,0,0
3080,0,0,啫喱怪,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,46600,0,252600,0,0,927,0,42,3080,0,0,0,3080,810102404,0,308,0,0,0,1391,0,13899752,1,3080,0,0,0
308,6,3,茜里的暗影,29,21,0,308,0,0,308,0,200000001,0,0,0,0,69120,0,600601,0,613,1419,1,42,308,0,0,0,308,810102405,0,308,0,0,0,1652,153,11645884,32,308,0,0,0
3080,0,0,暴君巨龟,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,0,0,251100,12593,0,1545,0,42,3080,0,0,0,3080,810102501,0,308,0,0,0,2318,0,14378630,1,3080,0,0,0
3080,0,0,上位兽人,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,0,0,252900,13307,0,927,0,42,3080,0,0,0,3080,810102502,0,308,0,0,0,2318,0,15168776,1,3080,0,0,0
3080,0,0,野性角鹿,0,0,0,3080,0,0,3080,0,200000001,0,0,0,0,0,0,251600,13448,0,1236,0,42,3080,0,0,0,3080,810102503,0,308,0,0,0,1854,0,14889195,1,3080,0,0,0
308,6,22,空花的暗影,23,6,0,308,887,0,308,0,200000001,0,0,0,0,0,0,604503,31602,62,2291,1,42,308,0,0,0,308,810102504,0,308,0,0,0,3189,259,12881069,32,308,0,0,0
