child_enemy_parameter_4,child_enemy_parameter_5,child_enemy_parameter_3,enemy_id,child_enemy_parameter_1,name,child_enemy_parameter_2
0,0,401408207,401408204,401408205,赤剑毒蛇 第2阶段,401408206
0,0,401408307,401408304,401408305,赤剑毒蛇 第3阶段,401408306
0,0,401408407,401408404,401408405,赤剑毒蛇 第4阶段,401408406
0,0,401408507,401408504,401408505,赤剑毒蛇 第5阶段,401408506
0,0,401408607,401408604,401408605,赤剑毒蛇 第1阶段 单人模式,401408606
0,0,401408707,401408704,401408705,赤剑毒蛇 第2阶段 单人模式,401408706
0,0,401408807,401408804,401408805,赤剑毒蛇 第3阶段 单人模式,401408806
0,0,401409108,401409105,401409106,暴食魔兽 第1阶段,401409107
0,0,401409208,401409205,401409206,暴食魔兽 第2阶段,401409207
0,0,401409308,401409305,401409306,暴食魔兽 第3阶段,401409307
0,0,401409408,401409405,401409406,暴食魔兽 第4阶段,401409407
0,0,401409508,401409505,401409506,暴食魔兽 第5阶段,401409507
0,0,401409608,401409605,401409606,暴食魔兽 第1阶段 单人模式,401409607
0,0,401409708,401409705,401409706,暴食魔兽 第2阶段 单人模式,401409707
0,0,401409808,401409805,401409806,暴食魔兽 第3阶段 单人模式,401409807
0,0,0,401411105,401411106,人马射手 第1阶段,401411107
0,0,0,401411205,401411206,人马射手 第2阶段,401411207
0,0,0,401411305,401411306,人马射手 第3阶段,401411307
0,0,0,401411405,401411406,人马射手 第4阶段,401411407
0,0,0,401411505,401411506,人马射手 第5阶段,401411507
0,0,0,401411605,401411606,人马射手 第1阶段 单人模式,401411607
0,0,0,401411705,401411706,人马射手 第2阶段 单人模式,401411707
0,0,0,401411805,401411806,人马射手 第3阶段 单人模式,401411807
0,0,401412107,401412104,401412105,黑曜双足飞龙 第1阶段,401412106
0,0,401412207,401412204,401412205,黑曜双足飞龙 第2阶段,401412206
0,0,401412307,401412304,401412305,黑曜双足飞龙 第3阶段,401412306
0,0,401412407,401412404,401412405,黑曜双足飞龙 第4阶段,401412406
0,0,401412507,401412504,401412505,黑曜双足飞龙 第5阶段,401412506
0,0,401412607,401412604,401412605,黑曜双足飞龙 第1阶段 单人模式,401412606
0,0,401412707,401412704,401412705,黑曜双足飞龙 第2阶段 单人模式,401412706
0,0,401412807,401412804,401412805,黑曜双足飞龙 第3阶段 单人模式,401412806
0,0,0,401501105,401501106,阿克艾利欧斯 第1阶段,401501107
0,0,0,401501205,401501206,阿克艾利欧斯 第2阶段,401501207
0,0,0,401501305,401501306,阿克艾利欧斯 第3阶段,401501307
0,0,0,401501405,401501406,阿克艾利欧斯 第4阶段,401501407
0,0,0,401501505,401501506,阿克艾利欧斯 第5阶段,401501507
0,0,0,401501605,401501606,阿克艾利欧斯 第1阶段 单人模式,401501607
0,0,0,401501705,401501706,阿克艾利欧斯 第2阶段 单人模式,401501707
0,0,0,401501805,401501806,阿克艾利欧斯 第3阶段 单人模式,401501807
0,0,401503107,401503104,401503105,三战士图腾 第1阶段,401503106
0,0,401503207,401503204,401503205,三战士图腾 第2阶段,401503206
0,0,401503307,401503304,401503305,三战士图腾 第3阶段,401503306
0,0,401503407,401503404,401503405,三战士图腾 第4阶段,401503406
0,0,401503507,401503504,401503505,三战士图腾 第5阶段,401503506
0,0,401503607,401503604,401503605,三战士图腾 第1阶段 单人模式,401503606
0,0,401503707,401503704,401503705,三战士图腾 第2阶段 单人模式,401503706
0,0,401503807,401503804,401503805,三战士图腾 第3阶段 单人模式,401503806
0,0,401504107,401504104,401504105,赤剑毒蛇 第1阶段,401504106
0,0,401504207,401504204,401504205,赤剑毒蛇 第2阶段,401504206
0,0,401504307,401504304,401504305,赤剑毒蛇 第3阶段,401504306
0,0,401504407,401504404,401504405,赤剑毒蛇 第4阶段,401504406
0,0,401504507,401504504,401504505,赤剑毒蛇 第5阶段,401504506
0,0,401504607,401504604,401504605,赤剑毒蛇 第1阶段 单人模式,401504606
0,0,401504707,401504704,401504705,赤剑毒蛇 第2阶段 单人模式,401504706
0,0,401504807,401504804,401504805,赤剑毒蛇 第3阶段 单人模式,401504806
401505109,0,401505108,401505105,401505106,双子魔猪 第1阶段,401505107
401505209,0,401505208,401505205,401505206,双子魔猪 第2阶段,401505207
401505309,0,401505308,401505305,401505306,双子魔猪 第3阶段,401505307
401505409,0,401505408,401505405,401505406,双子魔猪 第4阶段,401505407
401505509,0,401505508,401505505,401505506,双子魔猪 第5阶段,401505507
401505609,0,401505608,401505605,401505606,双子魔猪 第1阶段 单人模式,401505607
401505709,0,401505708,401505705,401505706,双子魔猪 第2阶段 单人模式,401505707
401505809,0,401505808,401505805,401505806,双子魔猪 第3阶段 单人模式,401505807
0,0,401506107,401506104,401506105,黑曜双足飞龙 第1阶段,401506106
0,0,401506207,401506204,401506205,黑曜双足飞龙 第2阶段,401506206
0,0,401506307,401506304,401506305,黑曜双足飞龙 第3阶段,401506306
0,0,401506407,401506404,401506405,黑曜双足飞龙 第4阶段,401506406
0,0,401506507,401506504,401506505,黑曜双足飞龙 第5阶段,401506506
0,0,401506607,401506604,401506605,黑曜双足飞龙 第1阶段 单人模式,401506606
0,0,401506707,401506704,401506705,黑曜双足飞龙 第2阶段 单人模式,401506706
0,0,401506807,401506804,401506805,黑曜双足飞龙 第3阶段 单人模式,401506806
0,0,401507108,401507105,401507106,炎吼狮王 第1阶段,401507107
0,0,401507208,401507205,401507206,炎吼狮王 第2阶段,401507207
0,0,401507308,401507305,401507306,炎吼狮王 第3阶段,401507307
0,0,401507408,401507405,401507406,炎吼狮王 第4阶段,401507407
0,0,401507508,401507505,401507506,炎吼狮王 第5阶段,401507507
0,0,401507608,401507605,401507606,炎吼狮王 第1阶段 单人模式,401507607
0,0,401507708,401507705,401507706,炎吼狮王 第2阶段 单人模式,401507707
0,0,401507808,401507805,401507806,炎吼狮王 第3阶段 单人模式,401507807
0,0,401508107,401508104,401508105,泰坦陆龟 第1阶段,401508106
0,0,401508207,401508204,401508205,泰坦陆龟 第2阶段,401508206
0,0,401508307,401508304,401508305,泰坦陆龟 第3阶段,401508306
0,0,401508407,401508404,401508405,泰坦陆龟 第4阶段,401508406
0,0,401508507,401508504,401508505,泰坦陆龟 第5阶段,401508506
0,0,401508607,401508604,401508605,泰坦陆龟 第1阶段 单人模式,401508606
0,0,401508707,401508704,401508705,泰坦陆龟 第2阶段 单人模式,401508706
0,0,401508807,401508804,401508805,泰坦陆龟 第3阶段 单人模式,401508806
0,0,0,401509102,401509103,骑兵哥布林 第1阶段,401509104
0,0,401509110,401509107,401509108,暴食魔兽 第1阶段,401509109
0,0,0,401509202,401509203,骑兵哥布林 第2阶段,401509204
0,0,401509210,401509207,401509208,暴食魔兽 第2阶段,401509209
0,0,0,401509302,401509303,骑兵哥布林 第3阶段,401509304
0,0,401509310,401509307,401509308,暴食魔兽 第3阶段,401509309
0,0,0,401509402,401509403,骑兵哥布林 第4阶段,401509404
0,0,401509410,401509407,401509408,暴食魔兽 第4阶段,401509409
0,0,0,401509502,401509503,骑兵哥布林 第5阶段,401509504
0,0,401509510,401509507,401509508,暴食魔兽 第5阶段,401509509
0,0,0,401509602,401509603,骑兵哥布林 第1阶段 单人模式,401509604
0,0,401509610,401509607,401509608,暴食魔兽 第1阶段 单人模式,401509609
0,0,0,401509702,401509703,骑兵哥布林 第2阶段 单人模式,401509704
0,0,401509710,401509707,401509708,暴食魔兽 第2阶段 单人模式,401509709
0,0,0,401509802,401509803,骑兵哥布林 第3阶段 单人模式,401509804
0,0,401509810,401509807,401509808,暴食魔兽 第3阶段 单人模式,401509809
0,0,401510107,401510104,401510105,三战士图腾 第1阶段,401510106
0,0,401510207,401510204,401510205,三战士图腾 第2阶段,401510206
0,0,401510307,401510304,401510305,三战士图腾 第3阶段,401510306
0,0,401510407,401510404,401510405,三战士图腾 第4阶段,401510406
0,0,401510507,401510504,401510505,三战士图腾 第5阶段,401510506
0,0,401510607,401510604,401510605,三战士图腾 第1阶段 单人模式,401510606
0,0,401510707,401510704,401510705,三战士图腾 第2阶段 单人模式,401510706
0,0,401510807,401510804,401510805,三战士图腾 第3阶段 单人模式,401510806
0,0,0,401511105,401511106,人马射手 第1阶段,401511107
0,0,0,401511205,401511206,人马射手 第2阶段,401511207
0,0,0,401511305,401511306,人马射手 第3阶段,401511307
0,0,0,401511405,401511406,人马射手 第4阶段,401511407
0,0,0,401511505,401511506,人马射手 第5阶段,401511507
0,0,0,401511605,401511606,人马射手 第1阶段 单人模式,401511607
0,0,0,401511705,401511706,人马射手 第2阶段 单人模式,401511707
0,0,0,401511805,401511806,人马射手 第3阶段 单人模式,401511807
0,0,0,401512102,401512103,骑兵哥布林 第1阶段,401512104
0,0,0,401512202,401512203,骑兵哥布林 第2阶段,401512204
0,0,0,401512302,401512303,骑兵哥布林 第3阶段,401512304
0,0,0,401512402,401512403,骑兵哥布林 第4阶段,401512404
0,0,0,401512502,401512503,骑兵哥布林 第5阶段,401512504
0,0,0,401512602,401512603,骑兵哥布林 第1阶段 单人模式,401512604
0,0,0,401512702,401512703,骑兵哥布林 第2阶段 单人模式,401512704
0,0,0,401512802,401512803,骑兵哥布林 第3阶段 单人模式,401512804
0,0,0,401601105,401601106,阿克艾利欧斯 第1阶段,401601107
0,0,0,401601205,401601206,阿克艾利欧斯 第2阶段,401601207
0,0,0,401601305,401601306,阿克艾利欧斯 第3阶段,401601307
0,0,0,401601405,401601406,阿克艾利欧斯 第4阶段,401601407
0,0,0,401601505,401601506,阿克艾利欧斯 第5阶段,401601507
0,0,0,401601605,401601606,阿克艾利欧斯 第1阶段 单人模式,401601607
0,0,0,401601705,401601706,阿克艾利欧斯 第2阶段 单人模式,401601707
0,0,0,401601805,401601806,阿克艾利欧斯 第3阶段 单人模式,401601807
0,0,401602107,401602104,401602105,赤剑毒蛇 第1阶段,401602106
0,0,401602207,401602204,401602205,赤剑毒蛇 第2阶段,401602206
0,0,401602307,401602304,401602305,赤剑毒蛇 第3阶段,401602306
0,0,401602407,401602404,401602405,赤剑毒蛇 第4阶段,401602406
0,0,401602507,401602504,401602505,赤剑毒蛇 第5阶段,401602506
0,0,401602607,401602604,401602605,赤剑毒蛇 第1阶段 单人模式,401602606
0,0,401602707,401602704,401602705,赤剑毒蛇 第2阶段 单人模式,401602706
0,0,401602807,401602804,401602805,赤剑毒蛇 第3阶段 单人模式,401602806
0,0,401603106,401603103,401603104,雷电 第1阶段,401603105
0,0,401603206,401603203,401603204,雷电 第2阶段,401603205
0,0,401603306,401603303,401603304,雷电 第3阶段,401603305
0,0,401603406,401603403,401603404,雷电 第4阶段,401603405
0,0,401603506,401603503,401603504,雷电 第5阶段,401603505
0,0,401603606,401603603,401603604,雷电 第1阶段 单人模式,401603605
0,0,401603706,401603703,401603704,雷电 第2阶段 单人模式,401603705
0,0,401603806,401603803,401603804,雷电 第3阶段 单人模式,401603805
0,0,0,401604102,401604103,骑兵哥布林 第1阶段,401604104
0,0,401604109,401604106,401604107,黑曜双足飞龙 第1阶段,401604108
0,0,0,401604202,401604203,骑兵哥布林 第2阶段,401604204
0,0,401604209,401604206,401604207,黑曜双足飞龙 第2阶段,401604208
0,0,0,401604302,401604303,骑兵哥布林 第3阶段,401604304
0,0,401604309,401604306,401604307,黑曜双足飞龙 第3阶段,401604308
0,0,0,401604402,401604403,骑兵哥布林 第4阶段,401604404
0,0,401604409,401604406,401604407,黑曜双足飞龙 第4阶段,401604408
0,0,0,401604502,401604503,骑兵哥布林 第1阶段 单人模式,401604504
0,0,401604509,401604506,401604507,黑曜双足飞龙 第1阶段 单人模式,401604508
0,0,0,401604602,401604603,骑兵哥布林 第2阶段 单人模式,401604604
0,0,401604609,401604606,401604607,黑曜双足飞龙 第2阶段 单人模式,401604608
0,0,0,401604702,401604703,骑兵哥布林 第3阶段 单人模式,401604704
0,0,401604709,401604706,401604707,黑曜双足飞龙 第3阶段 单人模式,401604708
401605109,0,401605108,401605105,401605106,双子魔猪 第1阶段,401605107
401605209,0,401605208,401605205,401605206,双子魔猪 第2阶段,401605207
401605309,0,401605308,401605305,401605306,双子魔猪 第3阶段,401605307
401605409,0,401605408,401605405,401605406,双子魔猪 第4阶段,401605407
401605509,0,401605508,401605505,401605506,双子魔猪 第1阶段 单人模式,401605507
401605609,0,401605608,401605605,401605606,双子魔猪 第2阶段 单人模式,401605607
401605709,0,401605708,401605705,401605706,双子魔猪 第3阶段 单人模式,401605707
0,0,401606107,401606104,401606105,海蛞蝓 第1阶段,401606106
0,0,401606207,401606204,401606205,海蛞蝓 第2阶段,401606206
0,0,401606307,401606304,401606305,海蛞蝓 第3阶段,401606306
0,0,401606407,401606404,401606405,海蛞蝓 第4阶段,401606406
0,0,401606507,401606504,401606505,海蛞蝓 第1阶段 单人模式,401606506
0,0,401606607,401606604,401606605,海蛞蝓 第2阶段 单人模式,401606606
0,0,401606707,401606704,401606705,海蛞蝓 第3阶段 单人模式,401606706
0,0,0,401607102,401607103,骑兵哥布林 第1阶段,401607104
0,0,401607110,401607107,401607108,炎吼狮王 第1阶段,401607109
0,0,0,401607202,401607203,骑兵哥布林 第2阶段,401607204
0,0,401607210,401607207,401607208,炎吼狮王 第2阶段,401607209
0,0,0,401607302,401607303,骑兵哥布林 第3阶段,401607304
0,0,401607310,401607307,401607308,炎吼狮王 第3阶段,401607309
0,0,0,401607402,401607403,骑兵哥布林 第4阶段,401607404
0,0,401607410,401607407,401607408,炎吼狮王 第4阶段,401607409
0,0,0,401607502,401607503,骑兵哥布林 第1阶段 单人模式,401607504
0,0,401607510,401607507,401607508,炎吼狮王 第1阶段 单人模式,401607509
0,0,0,401607602,401607603,骑兵哥布林 第2阶段 单人模式,401607604
0,0,401607610,401607607,401607608,炎吼狮王 第2阶段 单人模式,401607609
0,0,0,401607702,401607703,骑兵哥布林 第3阶段 单人模式,401607704
0,0,401607710,401607707,401607708,炎吼狮王 第3阶段 单人模式,401607709
0,0,401608107,401608104,401608105,泰坦陆龟 第1阶段,401608106
0,0,401608207,401608204,401608205,泰坦陆龟 第2阶段,401608206
0,0,401608307,401608304,401608305,泰坦陆龟 第3阶段,401608306
0,0,401608407,401608404,401608405,泰坦陆龟 第4阶段,401608406
0,0,401608507,401608504,401608505,泰坦陆龟 第1阶段 单人模式,401608506
0,0,401608607,401608604,401608605,泰坦陆龟 第2阶段 单人模式,401608606
0,0,401608707,401608704,401608705,泰坦陆龟 第3阶段 单人模式,401608706
0,0,401609104,401609101,401609102,冰霜魔狼 第1阶段,401609103
0,0,401609111,401609108,401609109,暴食魔兽 第1阶段,401609110
0,0,401609204,401609201,401609202,冰霜魔狼 第2阶段,401609203
0,0,401609211,401609208,401609209,暴食魔兽 第2阶段,401609210
0,0,401609304,401609301,401609302,冰霜魔狼 第3阶段,401609303
0,0,401609311,401609308,401609309,暴食魔兽 第3阶段,401609310
0,0,401609404,401609401,401609402,冰霜魔狼 第4阶段,401609403
0,0,401609411,401609408,401609409,暴食魔兽 第4阶段,401609410
0,0,401609504,401609501,401609502,冰霜魔狼 第1阶段 单人模式,401609503
0,0,401609511,401609508,401609509,暴食魔兽 第1阶段 单人模式,401609510
0,0,401609604,401609601,401609602,冰霜魔狼 第2阶段 单人模式,401609603
0,0,401609611,401609608,401609609,暴食魔兽 第2阶段 单人模式,401609610
0,0,401609704,401609701,401609702,冰霜魔狼 第3阶段 单人模式,401609703
0,0,401609711,401609708,401609709,暴食魔兽 第3阶段 单人模式,401609710
0,0,401610107,401610104,401610105,赤剑毒蛇 第1阶段,401610106
0,0,401610207,401610204,401610205,赤剑毒蛇 第2阶段,401610206
0,0,401610307,401610304,401610305,赤剑毒蛇 第3阶段,401610306
0,0,401610407,401610404,401610405,赤剑毒蛇 第4阶段,401610406
0,0,401610507,401610504,401610505,赤剑毒蛇 第1阶段 单人模式,401610506
0,0,401610607,401610604,401610605,赤剑毒蛇 第2阶段 单人模式,401610606
0,0,401610707,401610704,401610705,赤剑毒蛇 第3阶段 单人模式,401610706
0,0,401611107,401611104,401611105,三战士图腾 第1阶段,401611106
0,0,0,401611108,401611109,人马射手 第1阶段,401611110
0,0,401611207,401611204,401611205,三战士图腾 第2阶段,401611206
0,0,0,401611208,401611209,人马射手 第2阶段,401611210
0,0,401611307,401611304,401611305,三战士图腾 第3阶段,401611306
0,0,0,401611308,401611309,人马射手 第3阶段,401611310
0,0,401611407,401611404,401611405,三战士图腾 第4阶段,401611406
0,0,0,401611408,401611409,人马射手 第4阶段,401611410
0,0,401611507,401611504,401611505,三战士图腾 第1阶段 单人模式,401611506
0,0,0,401611508,401611509,人马射手 第1阶段 单人模式,401611510
0,0,401611607,401611604,401611605,三战士图腾 第2阶段 单人模式,401611606
0,0,0,401611608,401611609,人马射手 第2阶段 单人模式,401611610
0,0,401611707,401611704,401611705,三战士图腾 第3阶段 单人模式,401611706
0,0,0,401611708,401611709,人马射手 第3阶段 单人模式,401611710
0,0,401612104,401612101,401612102,冰霜魔狼 第1阶段,401612103
0,0,0,401612105,401612106,骑兵哥布林 第1阶段,401612107
0,0,401612204,401612201,401612202,冰霜魔狼 第2阶段,401612203
0,0,0,401612205,401612206,骑兵哥布林 第2阶段,401612207
0,0,401612304,401612301,401612302,冰霜魔狼 第3阶段,401612303
0,0,0,401612305,401612306,骑兵哥布林 第3阶段,401612307
0,0,401612404,401612401,401612402,冰霜魔狼 第4阶段,401612403
0,0,0,401612405,401612406,骑兵哥布林 第4阶段,401612407
0,0,401612504,401612501,401612502,冰霜魔狼 第1阶段 单人模式,401612503
0,0,0,401612505,401612506,骑兵哥布林 第1阶段 单人模式,401612507
0,0,401612604,401612601,401612602,冰霜魔狼 第2阶段 单人模式,401612603
0,0,0,401612605,401612606,骑兵哥布林 第2阶段 单人模式,401612607
0,0,401612704,401612701,401612702,冰霜魔狼 第3阶段 单人模式,401612703
0,0,0,401612705,401612706,骑兵哥布林 第3阶段 单人模式,401612707
0,0,401701106,401701103,401701104,雷电 第1阶段,401701105
0,0,0,401701108,401701109,阿克艾利欧斯 第1阶段,401701110
0,0,401701206,401701203,401701204,雷电 第2阶段,401701205
0,0,0,401701208,401701209,阿克艾利欧斯 第2阶段,401701210
0,0,401701306,401701303,401701304,雷电 第3阶段,401701305
0,0,0,401701308,401701309,阿克艾利欧斯 第3阶段,401701310
0,0,401701406,401701403,401701404,雷电 第4阶段,401701405
0,0,0,401701408,401701409,阿克艾利欧斯 第4阶段,401701410
0,0,401701506,401701503,401701504,雷电 第1阶段 单人模式,401701505
0,0,0,401701508,401701509,阿克艾利欧斯 第1阶段 单人模式,401701510
0,0,401701606,401701603,401701604,雷电 第2阶段 单人模式,401701605
0,0,0,401701608,401701609,阿克艾利欧斯 第2阶段 单人模式,401701610
0,0,401701706,401701703,401701704,雷电 第3阶段 单人模式,401701705
0,0,0,401701708,401701709,阿克艾利欧斯 第3阶段 单人模式,401701710
0,0,401703105,401703102,401703103,壮汉幽灵 第1阶段,401703104
0,0,401703205,401703202,401703203,壮汉幽灵 第2阶段,401703204
0,0,401703305,401703302,401703303,壮汉幽灵 第3阶段,401703304
0,0,401703405,401703402,401703403,壮汉幽灵 第4阶段,401703404
0,0,401703505,401703502,401703503,壮汉幽灵 第1阶段 单人模式,401703504
