help_index,start_time,banner_y,series_event_id,condition_shiori_quest_id,condition_story_id,gojuon_order,event_id,condition_main_quest_id,original_event_id,original_start_time,condition_chara_id,end_time
"1,15",2023/12/15 10:00:00,-7,0,0,0,6055,20022,0,10033,2022/1/31 12:00:00,0,2088/06/15 11:00:00
1,2024/1/15 11:00:00,-5,0,0,0,2022,20023,0,10038,2022/03/31 11:00:00,0,2088/06/15 11:00:00
1,2024/02/18 11:00:00,-10,0,0,0,6011,20024,0,10040,2022/04/30 11:00:00,0,2088/06/15 11:00:00
"1,16",2024/03/15 11:00:00,-5,0,0,0,5221,20025,0,10042,2022/05/31 11:00:00,0,2088/06/15 11:00:00
"1,17",2024/04/15 09:00:00,10,0,0,0,3040,20026,0,10044,2022/06/30 11:00:00,0,2088/06/15 11:00:00
"1,18",2024/05/15 11:00:00,10,0,0,0,6120,20027,0,10046,2022/07/31 11:00:00,0,2088/06/15 11:00:00
1,2024/06/14 11:00:00,-5,0,0,0,5033,20028,0,10048,2022/08/31 11:00:00,0,2088/06/15 11:00:00
"1,19",2024/07/15 10:00:00,0,0,0,0,5151,20029,0,10050,2022/09/30 11:00:00,0,2088/06/15 11:00:00
1,2024/08/15 11:00:00,-8,0,0,0,6056,20030,0,10052,2022/10/30 11:00:00,0,2088/06/15 11:00:00
"1,20",2024/09/14 11:00:00,0,0,0,0,3351,20031,0,10054,2022/11/30 11:00:00,0,2088/06/15 11:00:00
"1,21",2024/10/15 11:00:00,0,0,0,0,2191,20032,0,10056,2022/12/31 11:00:00,0,2088/06/15 11:00:00
"1,22",2024/11/15 11:00:00,0,0,0,0,1122,20033,0,10058,2023/01/31 11:00:00,0,2088/06/15 11:00:00
"1,22",2024/11/15 11:00:00,0,20033,0,0,1123,20034,0,10059,2023/02/10 11:00:00,0,2088/06/15 11:00:00
"1,23",2024/12/16 11:00:00,12,0,0,0,2193,20035,0,10061,2023/02/28 11:00:00,0,2088/06/15 11:00:00
1,2025/01/15 11:00:00,0,0,0,0,5010,20036,0,10064,2023/03/28 11:00:00,0,2088/06/15 11:00:00
1,2025/02/13 11:00:00,0,0,0,0,144,20037,0,10066,2023/04/28 11:00:00,0,2088/06/15 11:00:00
"1,24",2025/03/14 11:00:00,0,0,0,0,121,20038,0,10068,2023/05/28 11:00:00,0,2088/06/15 11:00:00
1,2025/04/08 11:00:00,0,0,0,0,394,20039,0,10070,2023/06/28 11:00:00,0,2088/06/15 11:00:00
"1,25",2025/04/23 11:00:00,0,0,0,0,1082,20040,0,10072,2023/07/28 11:00:00,0,2088/06/15 11:00:00
1,2025/04/30 11:00:00,0,0,0,0,181,20041,0,10074,2023/08/28 11:00:00,0,2088/06/15 11:00:00
"1,26",2025/05/15 11:00:00,0,0,0,0,5084,20042,0,10076,2023/09/28 11:00:00,0,2088/06/15 11:00:00
1,2025/06/14 11:00:00,0,0,0,0,6054,20043,0,10078,2023/10/28 11:00:00,0,2088/06/15 11:00:00
"1,27",2025/06/30 11:00:00,0,0,0,0,6381,20044,0,10080,2023/11/28 11:00:00,0,2088/06/15 11:00:00
"1,28",2025/07/15 11:00:00,0,0,0,0,2193,20045,0,10082,2023/12/28 11:00:00,0,2088/06/15 11:00:00
1,2025/07/30 11:00:00,0,0,0,0,8163,20046,0,10084,2024/01/28 11:00:00,0,2088/06/15 11:00:00
"1,29",2025/07/30 11:00:00,0,20046,0,0,8164,20047,0,10085,2024/02/28 11:00:00,0,2088/06/15 11:00:00
1,2025/08/14 11:00:00,0,0,0,0,2201,20048,0,10088,2024/03/28 11:00:00,0,2088/06/15 11:00:00
1,2025/08/29 11:00:00,0,0,0,0,430,20049,0,10090,2024/04/28 11:00:00,0,2088/06/15 11:00:00
1,2025/10/13 11:00:00,0,0,0,0,351,20050,0,10092,2024/05/28 11:00:00,0,2088/06/15 11:00:00
"1,30",2025/10/30 11:00:00,0,0,0,0,392,20051,0,10094,2024/06/28 11:00:00,0,2088/06/15 11:00:00
"1,31",2025/11/29 11:00:00,0,0,0,0,3402,20052,0,10096,2024/07/28 11:00:00,0,2088/06/15 11:00:00
"1,32",2025/12/15 11:00:00,0,0,0,0,8132,20053,0,10098,2024/08/28 11:00:00,0,2088/06/15 11:00:00
1,2026/01/14 11:00:00,0,0,0,0,6057,20054,0,10100,2024/09/28 11:00:00,0,2088/06/15 11:00:00
"1,33",2026/01/29 09:00:00,0,0,0,0,5200,20055,0,10102,2024/10/28 11:00:00,0,2088/06/15 11:00:00
1,2026/01/29 09:00:00,0,0,0,0,3479,20056,0,10104,2024/11/28 11:00:00,0,2088/06/15 11:00:00
"1,34",2026/02/13 11:00:00,0,0,0,0,5033,20057,0,10106,2024/12/28 11:00:00,0,2088/06/15 11:00:00
"1,35",2026/02/28 11:00:00,-10,0,0,0,7213,20058,0,10108,2025/01/28 11:00:00,0,2088/06/15 11:00:00
"1,36",2026/03/16 11:00:00,-10,0,0,0,8153,20059,0,10110,2025/02/28 11:00:00,0,2088/06/15 11:00:00
"1,36",2026/03/16 11:00:00,-10,20059,0,0,8154,20060,0,10111,2025/03/28 11:00:00,0,2088/06/15 11:00:00
1,2026/04/15 11:00:00,-10,0,0,0,4314,20061,0,10114,2025/04/28 11:00:00,0,2088/06/15 11:00:00
1,2026/05/15 11:00:00,-10,0,0,0,3301,20062,0,10116,2025/05/28 11:00:00,0,2088/06/15 11:00:00
"1,37",2026/06/01 11:00:00,10,0,0,0,1443,20063,0,10118,2025/06/28 11:00:00,0,2088/06/15 11:00:00
1,2026/06/16 11:00:00,0,0,0,0,202,20064,0,10120,2025/07/28 11:00:00,0,2030/4/19 15:00:00
