class_id,action_value_1,action_type,action_detail_1,action_id,action_value_4,target_assignment,action_detail_2,action_detail_3,target_count,target_range,description,target_area,action_value_6,target_type,level_up_disp,action_value_5,target_number,action_value_3,action_value_2,action_value_7
1,1.0,10,10,100400303,99.0,2,1,0,1,0,自身的物理攻击力提升{0},1,0.0,7,物理攻击力提升+{0},0.0,0,5.5,5.5,1.0
1,27.0,1,1,100401101,0.0,1,0,0,99,2160,对敌方全体造成{0}物理伤害,3,0.0,3,物理伤害+{0},0.0,0,2.16,27.0,0.0
1,1.0,10,11,100401102,18.0,1,1,0,99,2160,使敌方全体的物理攻击力降低{0},3,0.0,3,物理攻击力降低+{0},0.0,0,30.0,30.0,0.0
1,1.0,10,61,100401103,18.0,1,0,0,99,2160,使敌方全体的物理暴击降低{0},3,0.0,3,物理暴击降低＋{0},0.0,0,1.25,100.0,0.0
1,2.0,10,111,100401104,18.0,1,0,0,99,2160,使敌方全体物理攻击暴击时的伤害降低{0},3,0.0,3,,0.0,0,0.0,25.0,0.0
1,20.0,1,1,100401201,0.0,1,0,0,1,2160,对敌方单体造成{0}物理伤害,3,0.0,3,物理伤害+{0},0.0,1,1.6,20.0,0.0
1,10.0,12,80,100401202,0.0,1,0,0,1,2160,对敌方单体赋予黑暗状态,3,0.0,3,黑暗的成功率等级+1,0.0,1,100.0,0.0,0.0
1,0.0,7,1,100401203,0.0,1,0,0,1,2160,,3,0.0,3,,0.0,1,0.0,0.0,0.0
1,1.0,10,11,100401204,180.0,1,1,0,99,200,使范围内敌人的物理攻击力下降{0},2,0.0,1,物理攻击力下降+{0},0.0,0,5.0,5.0,0.0
1,1.0,90,3,100450101,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,物理防御力上升+{0},0.0,0,2.0,2.0,0.0
1,1.0,90,3,100451101,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,物理防御力上升+{0},0.0,0,2.0,2.0,0.0
1,1.0,90,2,100451102,1.0,0,0,0,0,0,自身的物理攻击力提升{0},0,0.0,0,,0.0,0,0.0,225.0,0.0
1,100.0,2,3,100500101,0.0,1,0,0,1,2160,,1,0.0,3,,0.0,2,0.0,0.0,0.0
1,100.0,7,1,100500102,0.0,1,0,0,1,2160,,1,0.0,3,,0.0,2,0.0,0.0,0.0
1,30.0,1,1,100500103,0.0,1,0,0,99,300,对范围内的敌人造成{0}的物理伤害,2,0.0,3,物理伤害+{0},0.0,0,2.4,30.0,0.0
1,3.4,1,1,100500201,0.0,1,0,0,99,300,对范围内的敌人造成{0}的物理伤害,2,0.0,3,物理伤害+{0},0.0,0,0.27,3.4,0.0
1,0.0,8,7,100500202,0.0,1,0,0,99,300,使范围内的敌人在一段时间内无法行动,2,0.0,3,眩晕的成功率等级+1,0.0,0,2.0,0.0,0.0
1,10.0,1,1,100500301,0.0,1,0,0,99,300,对范围内的敌人造成{0}的物理伤害,2,0.0,3,物理伤害+{0},0.0,0,0.8,10.0,0.0
1,100.0,2,3,100501101,0.0,1,0,0,1,2160,,1,0.0,3,,0.0,2,0.0,0.0,0.0
1,100.0,7,1,100501102,0.0,1,0,0,1,2160,,1,0.0,3,,0.0,2,0.0,0.0,0.0
1,30.0,1,1,100501103,0.0,1,0,0,99,450,对范围内敌人造成{0}物理伤害,2,0.0,3,物理伤害+{0},0.0,0,2.4,30.0,0.0
1,1.0,26,100501103,100501104,0.0,2,3,0,1,0,,1,0.0,7,,0.0,0,0.0,5e-05,0.0
1,1.0,26,100501106,100501105,0.0,2,1,0,1,0,,1,0.0,7,,0.0,0,0.0,1.0,0.0
1,45.0,6,5,100501106,0.0,2,0,0,1,0,展开能够屏蔽{0}物理魔法伤害的屏障,1,0.0,7,无效伤害量+{0},0.0,0,18.0,45.0,0.0
1,3.4,1,1,100501201,0.0,1,0,0,99,300,对范围内的敌人造成{0}的物理伤害,2,0.0,3,物理伤害+{0},0.0,0,0.54,3.4,0.0
1,0.0,8,7,100501202,0.0,1,0,0,99,300,使范围内的敌人在一段时间内无法行动,2,0.0,3,眩晕的成功率等级+1,0.0,0,2.0,0.0,0.0
1,1.0,10,20,100501203,12.0,2,1,0,1,0,自身的物理防御力提升{0},1,0.0,7,物理防御力提升+{0},0.0,0,2.24,2.24,0.0
1,1.0,10,40,100501204,12.0,2,1,0,1,0,自身的魔法防御力提升{0},1,0.0,7,魔法防御力提升+{0},0.0,0,2.24,2.24,0.0
1,1.0,90,2,100550101,1.0,0,0,0,0,0,提高自己的物理攻击力{0},0,0.0,0,物理攻击力提高+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,2,100551101,1.0,0,0,0,0,0,提高自己的物理攻击力{0},0,0.0,0,物理攻击力提升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,3,100551102,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,,0.0,0,0.0,30.0,0.0
1,4.0,32,0,100600101,0.0,2,0,0,99,2160,,3,0.0,3,,0.0,0,1.0,4.0,0.0
1,1.0,10,30,100600102,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,4.5,4.5,0.0
1,20.0,1,2,100600201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.6,20.0,0.0
1,1.0,10,41,100600301,12.0,1,1,0,1,-1,使敌方单体的魔法防御力下降{0},1,0.0,3,魔法防御力下降+{0},0.0,0,1.0,1.0,1.0
1,4.0,32,0,100601101,0.0,2,0,0,99,2160,,3,0.0,3,,0.0,0,1.0,4.0,0.0
1,1.0,10,30,100601102,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,24.0,24.0,0.0
1,1.0,10,70,100601103,18.0,2,1,0,99,2160,我方全体的魔法暴击提升{0},3,0.0,3,,0.0,0,0.0,100.0,0.0
1,1.0,10,41,100601104,18.0,1,1,0,99,2160,敌方全体的魔法防御力降低{0},3,0.0,3,魔法防御力降低+{0},0.0,0,0.66,0.66,0.0
1,25.0,1,2,100601201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,2.0,25.0,0.0
1,1.0,10,41,100601202,12.0,1,1,0,1,-1,使敌方单体的魔法防御力下降{0},1,0.0,3,魔法防御力下降+{0},0.0,0,0.2,0.2,1.0
1,25.0,1,2,100610101,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,2.0,25.0,0.0
1,15.0,1,2,100610201,0.0,1,0,0,99,550,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.25,15.0,0.0
1,1204.0,32,0,100620101,0.0,2,0,0,99,2160,,3,0.0,3,,0.0,0,1.0,0.0,0.0
1,1.0,10,30,100620102,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,8.5,-1195.5,0.0
1,1204.0,32,0,100621101,0.0,2,0,0,99,2160,,3,0.0,3,,0.0,0,1.0,0.0,0.0
1,1.0,10,30,100621102,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,28.0,-1172.0,0.0
1,1.0,10,70,100621103,18.0,2,1,0,99,2160,我方全体的魔法暴击提升{0},3,0.0,3,,0.0,0,0.0,100.0,0.0
1,1.0,10,41,100621104,18.0,1,1,0,99,2160,敌方全体的魔法防御力降低{0},3,0.0,3,魔法防御力降低+{0},0.0,0,0.66,0.66,0.0
1,1.0,90,4,100650101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,4,100651101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,240.0,0.0
1,45.0,1,1,100700101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,3.6,45.0,0.0
1,1.0,4,1,100700102,1.0,2,0,0,1,0,自身的生命值回复{0},3,0.0,7,生命值回复量+{0},0.0,0,12.0,12.0,0.0
1,3.0,21,1,100700201,0.0,2,0,0,1,0,一定时间内赋予无敌状态,1,0.0,7,无敌时间+0.01秒,0.0,0,0.0,0.01,0.0
1,0.0,18,1,100700202,0.0,0,100700203,0,1,0,,0,0.0,7,,0.0,0,2.4,0.0,0.0
1,0.0,21,1,100700203,0.0,2,0,0,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,4,1,100700301,1.0,2,0,0,1,0,自身的生命值回复{0},1,0.0,7,生命值回复量+{0},0.0,0,7.5,7.5,0.0
1,60.0,1,1,100701101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,4.8,60.0,0.0
1,1.0,4,1,100701102,1.0,2,0,0,1,0,自身的生命值回复{0},3,0.0,7,生命值回复量+{0},0.0,0,12.0,12.0,0.0
1,1.0,10,50,100701103,180.0,2,1,0,1,0,自身的回避提升{0},2,0.0,7,回避率提升+{0},0.0,0,0.1,0.1,1.0
1,3.0,21,1,100701201,0.0,2,0,0,1,0,一定时间变为无敌状态,1,0.0,7,无敌时间+0.01秒,0.0,0,0.0,0.01,0.0
1,0.0,18,1,100701202,0.0,0,100701203,0,1,0,,0,0.0,7,,0.0,0,2.4,0.0,0.0
1,0.0,21,1,100701203,0.0,2,0,0,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,10,50,100701204,12.0,2,1,0,1,0,自身的回避提升{0},2,0.0,7,回避率提升+{0},0.0,0,0.1,0.1,1.0
1,1.0,10,20,100701205,12.0,2,1,0,1,0,自身的物理防御力提升{0},2,0.0,7,物理防御力提升+{0},0.0,0,1.2,1.2,1.0
1,6.0,21,1,100720201,0.0,2,0,0,1,0,一定时间内变为无敌状态,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,0.0,18,1,100720202,0.0,0,100720203,0,1,0,,0,0.0,7,,0.0,0,2.4,0.0,0.0
1,0.0,21,1,100720203,0.0,2,0,0,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,10,20,100720204,12.0,2,1,0,1,0,自身的物理防御力提升{0},2,0.0,7,物理防御力提升+{0},0.0,0,0.2,-60.0,1.0
1,60.0,1,1,100721101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,5.2,60.0,0.0
1,1.0,4,1,100721102,1.0,2,0,0,1,0,自身的生命值回复{0},3,0.0,7,生命值回复量+{0},0.0,0,12.0,12.0,0.0
1,1.0,10,50,100721103,180.0,2,1,0,1,0,自身的回避提升{0},2,0.0,7,,0.0,0,0.0,30.1,1.0
1,6.0,21,1,100721201,0.0,2,0,0,1,0,一定时间内变为无敌状态,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,0.0,18,1,100721202,0.0,0,100721203,0,1,0,,0,0.0,7,,0.0,0,2.4,0.0,0.0
1,0.0,21,1,100721203,0.0,2,0,0,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,10,50,100721204,12.0,2,1,0,1,0,自身的回避提升{0},2,0.0,7,,0.0,0,0.0,30.1,1.0
1,1.0,10,20,100721205,12.0,2,1,0,1,0,自身的物理防御力提升{0},2,0.0,7,物理防御力提升+{0},0.0,0,1.4,-58.8,1.0
1,1.0,90,3,100750101,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,物理防御力上升+{0},0.0,0,2.0,2.0,0.0
1,1.0,90,3,100751101,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,物理防御力上升+{0},0.0,0,2.0,32.0,0.0
1,4.5,1,2,100800101,0.0,1,0,0,99,2160,对敌方全体造成{0}的魔法伤害,3,0.0,3,魔法伤害+{0},0.0,0,0.405,4.5,0.0
1,1.0,10,21,100800102,18.0,1,1,0,99,2160,敌方全体的物理防御力{0}下降,3,0.0,3,物理防御力下降+{0},0.0,0,0.345,0.345,1.0
1,15.0,1,2,100800201,0.0,1,0,0,1,2160,对敌方单体造成{0}的魔法伤害,3,0.0,3,魔法伤害+{0},0.0,1,1.2,15.0,0.0
1,8.0,12,40,100800202,0.0,1,0,0,1,2160,赋予黑暗状态,3,0.0,1,黑暗的成功率等级+1,0.0,0,100.0,0.0,0.0
1,75.0,16,1,100800301,0.0,2,0,0,1,2160,回复我方单体的技能值{0},3,0.0,12,技能值回复量+{0},0.0,0,0.0,2.5,0.0
1,20.25,1,2,100801101,0.0,1,1,0,99,2160,对敌方单体造成只能以较低防御力类型进行防御的{0}魔法伤害,3,0.0,3,魔法伤害+{0},0.0,0,1.62,20.25,0.0
1,1.0,10,21,100801102,18.0,1,1,0,99,2160,敌方全体的物理防御力降低{0},3,0.0,3,物理防御力降低+{0},0.0,0,0.7,0.7,1.0
1,4.0,11,0,100801103,0.0,1,0,0,99,2160,使敌方全体陷入魅惑状态,3,0.0,3,魅惑的成功率等级+1,0.0,0,100.0,0.0,0.0
1,15.0,1,2,100801201,0.0,1,0,0,1,2160,对敌方单体造成{0}魔法伤害,3,0.0,3,魔法伤害+{0},0.0,1,1.2,15.0,0.0
1,8.0,12,40,100801202,0.0,1,0,0,1,2160,对敌方单体赋予黑暗状态,3,0.0,3,黑暗的成功率等级+1,0.0,1,100.0,0.0,0.0
1,8.0,11,0,100801203,0.0,1,0,0,1,2160,魅惑敌方单体,3,0.0,3,魅惑的成功率等级+1,0.0,1,100.0,0.0,0.0
1,725.0,16,1,100820301,0.0,2,0,0,1,2160,回复我方单体的技能值{0},3,0.0,12,,0.0,0,0.0,0.0,0.0
1,1.0,10,10,100820302,12.0,2,1,0,0,2160,使我方单体的物理攻击力提升{0},3,0.0,1,物理攻击力提升+{0},0.0,0,8.0,-2080.0,0.0
1,1.0,90,4,100850101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,4,100851101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,3,100851102,1.0,0,0,0,0,0,自身的物理防御力提升{0},0,0.0,0,,0.0,0,0.0,30.0,0.0
1,18.0,1,2,100900101,0.0,1,0,0,99,2160,对敌方全体造成{0}的魔法伤害,3,0.0,3,魔法伤害+{0},0.0,0,1.44,18.0,0.0
1,2.0,10,21,100900102,99.0,2,1,0,1,0,令自身的物理防御力降为0,1,0.0,7,,0.0,0,0.0,100.0,2.0
1,2.0,10,41,100900103,99.0,2,1,0,1,0,令自身的魔法防御力降为0,1,0.0,7,,0.0,0,0.0,100.0,2.0
1,20.0,1,2,100900201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.2,20.0,0.0
1,100.0,17,3,100900301,0.0,2,0,0,1,0,,3,0.0,7,,1.0,0,10.0,0.0,0.0
1,25.0,1,2,100900302,0.0,1,0,0,99,600,对范围内的敌人造成{0}的魔法伤害,2,0.0,3,魔法伤害+{0},0.0,0,2.0,25.0,0.0
1,0.0,30,0,100900303,0.0,2,0,0,1,0,,3,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.9,21,1,100900304,0.0,2,0,0,1,0,,3,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,10,30,100901101,8.0,2,1,0,1,0,自身的魔法攻击力提升{0},1,0.0,7,魔法攻击力提升+{0},0.0,0,50.0,50.0,1.0
1,81.25,1,2,100901102,0.0,1,0,0,99,2160,对敌方全体造成{0}魔法伤害,3,0.0,3,魔法伤害+{0},0.0,0,6.5,81.25,0.0
1,2.0,10,21,100901103,99.0,2,1,0,1,0,自身的物理防御力降低初始值的100%,1,0.0,7,,0.0,0,0.0,100.0,2.0
1,2.0,10,41,100901104,99.0,2,1,0,1,0,自身的魔法防御力降低初始值的100%,1,0.0,7,,0.0,0,0.0,100.0,2.0
1,20.0,1,2,100901201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.6,20.0,0.0
1,1.0,10,41,100901202,12.0,2,1,0,99,2160,使敌方单体的魔法防御力下降{0},3,0.0,3,魔法防御力下降+{0},0.0,0,0.6,0.6,1.0
1,1.0,90,4,100950101,1.0,0,0,0,1,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,4,100951101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,240.0,0.0
1,1.0,10,30,101000101,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,15.0,15.0,0.0
1,1.0,10,20,101000102,18.0,2,1,0,99,2160,我方全体的物理防御力提升{0},3,0.0,3,物理防御力提升+{0},0.0,0,0.6,0.6,0.0
1,50.0,16,4,101000103,18.0,2,1,0,99,2160,我方全体的技能值固定回复{0},3,0.0,3,,0.0,0,0.0,0.0,0.0
1,1.0,4,2,101000201,1.0,2,0,0,1,2160,回复我方单体的生命值{0},2,0.0,5,生命值回复量+{0},0.0,0,7.5,7.5,0.0
1,8.0,12,40,101000301,0.0,1,0,0,1,2160,赋予黑暗状态,1,0.0,3,黑暗的成功率等级+1,0.0,1,100.0,0.0,0.0
1,1.0,10,30,101001101,18.0,2,1,0,99,2160,我方全体的魔法攻击力提升{0},3,0.0,3,魔法攻击力提升+{0},0.0,0,30.0,30.0,0.0
1,1.0,10,70,101001102,18.0,2,1,0,99,2160,我方全体的魔法暴击提升{0},3,0.0,3,物理防御力提升+{0},0.0,0,0.0,100.0,0.0
1,1.0,10,120,101001103,18.0,2,1,0,99,2160,我方全体魔法攻击暴击时造成的伤害提升5%,3,0.0,3,,0.0,0,0.0,5.0,0.0
1,1.0,10,20,101001104,18.0,2,1,0,99,2160,我方全体的物理防御力提升{0},3,0.0,3,物理防御力提升+{0},0.0,0,1.1,1.1,0.0
1,120.0,16,4,101001105,0.0,2,1,0,99,2160,我方全体的技能值固定回复{0},3,0.0,3,,0.0,0,0.0,0.0,0.0
1,10.0,48,1,101001106,0.0,2,2,0,99,2160,每秒回复技能值10,3,0.0,3,,10.0,0,0.0,0.0,0.0
1,1.0,4,2,101001201,1.2,2,0,0,1,2160,回复我方单体的生命值{0},3,0.0,5,生命值回复量+{0},0.0,0,8.5,8.5,0.0
1,1.0,10,20,101001202,12.0,2,1,0,1,2160,我方单体的物理防御力提升{0},3,0.0,5,物理防御力提升+{0},0.0,0,1.0,1.0,1.0
1,0.5,48,2,101001203,0.0,2,1,0,1,2160,每秒回复生命值{0},2,0.0,5,回复量+{0},8.5,0,0.08,0.5,0.0
