normal_atk_cast_time,visual_change_flag,motion_type,atk_type,search_area_width,unit_name,cutin_star6,move_speed,unit_id,prefab_id,comment,cutin,se_type
3.5,0,0,2,800,巨蜥幼崽,0,270,203101,203101,【魔法】近身攻击虽然体积小却能吐\n出强力火焰的小蜥蜴。,0,17
3.5,0,0,2,650,淘气恶魔,0,270,203200,203200,【魔法】近身攻击以不符体型的大勾\n爪进行抓挠攻击的见习恶魔。,0,12
4.0,0,0,1,150,持盾哥布林,0,270,203300,203300,【物理】近身攻击用与体型等大的巨\n型盾来保护同伴的见习哥布林。,0,15
4.0,0,0,1,150,丛林守护者,0,270,203301,203301,【物理】近身攻击用看上去像一张脸\n的大盾威吓敌人阻挡侵入者的丛林守\n护人。,0,15
4.0,0,0,1,50,持盾哥布林,0,270,203302,203300,【物理】近身攻击用与体型等大的巨\n型盾来保护同伴的见习哥布林。,0,15
4.0,0,0,1,170,持盾哥布林,0,350,203303,203303,【物理】近身攻击用与体型等大的巨\n型盾来保护同伴的见习哥布林。,0,15
4.0,0,0,2,800,鬼灯草虫,0,270,203400,203400,【回复】单体回复屁股上残留的蜜液\n会成为魔物的营养源，不可思议的萤\n火虫。,0,0
4.0,0,0,2,800,铃兰虫,0,270,203401,203401,【回复】单体持续回复不可思议的萤\n火虫，从臀部的花上撒下鳞粉来治愈\n魔物。,0,0
4.0,0,0,2,3000,鬼灯草虫,0,270,203402,203400,【回复】单体回复屁股上残留的蜜液\n会成为魔物的营养源，不可思议的萤\n火虫。,0,0
3.5,0,0,1,750,钻地鼠,0,270,203500,203500,【物理】中距离攻击将手从地下伸向\n地面，从脚边进行攻击的鼹鼠魔物。,0,16
3.5,0,0,1,750,冰地鼠,0,270,203501,203501,【物理】中距离攻击使用发达的利爪\n敲碎冰块进行攻击的雪鼹鼠魔物。,0,16
3.5,0,0,1,600,冰地鼠,0,1000,203502,203502,【物理】中距离攻击使用发达的利爪\n敲碎冰块进行攻击的雪鼹鼠魔物。,0,16
2.5,0,0,1,350,坚果射手,0,270,203700,203700,【物理】范围攻击将吃剩的坚果壳扔\n向对方坏心眼的松鼠魔物。,0,15
2.5,0,0,1,350,熏天臭鼬,0,270,203702,203702,【物理】范围攻击随心所欲地使用能\n刺痛眼睛的臭气弹的臭鼬魔物。,0,15
2.5,0,0,1,100,熏天臭鼬,0,270,203703,203702,【物理】范围攻击随心所欲地使用能\n刺痛眼睛的臭气弹的臭鼬魔物。,0,15
2.5,0,0,1,200,兽人,0,270,203800,203800,【物理】近身攻击身披倒下的冒险者\n的铠甲挥舞斧头的凶暴森之兽人。,0,13
2.5,0,0,1,200,上位兽人,0,270,203801,203801,【物理】近身攻击断进行严苛的锻炼，\n获得了强韧肉体的上等兽人。,0,13
2.5,0,0,1,300,上位兽人,0,270,203803,203801,【物理】近身攻击断进行严苛的锻炼，\n获得了强韧肉体的上等兽人。,0,13
2.5,0,0,1,200,兽人,0,240,203804,203800,【物理】近身攻击身披倒下的冒险者\n的铠甲挥舞斧头的凶暴森之兽人。,0,13
2.5,0,0,1,100,上位兽人,0,270,203805,203801,【物理】近身攻击断进行严苛的锻炼，\n获得了强韧肉体的上等兽人。,0,13
2.5,0,0,1,150,上位兽人,0,270,203806,203801,【物理】近身攻击断进行严苛的锻炼，\n获得了强韧肉体的上等兽人。,0,13
2.5,0,0,1,205,兽人,0,270,203807,203800,【物理】近身攻击身披倒下的冒险者\n的铠甲挥舞斧头的凶暴森之兽人。,0,13
4.0,0,0,1,1080,恶魔加农炮,0,270,203900,203900,【物理】近身攻击在长年被使用的过\n程中寄宿了恶魔的灵魂，有生命的炮\n台。,0,16
4.0,0,0,1,1080,骨制加农炮,0,270,203901,203901,【物理】近身攻击不知从哪里搞到的\n披着骷髅的炮台。寻求更时髦的骸骨\n而徘徊着。,0,16
4.0,0,0,1,850,恶魔加农炮,0,270,203902,203900,【物理】近身攻击在长年被使用的过\n程中寄宿了恶魔的灵魂，有生命的炮\n台。,0,16
4.0,0,0,1,700,骨制加农炮,0,270,203903,203901,【物理】范围攻击不知从哪里搞到的\n披着骷髅的炮台。寻求更时髦的骸骨\n而徘徊着。,0,16
4.0,0,0,1,900,恶魔加农炮群集,0,270,203904,203904,【物理】范围攻击成对行动的寄宿着\n灵魂的炮台。因为有两门，炮击频率\n也是一般炮台的两倍。,0,16
4.0,0,0,1,800,骨制加农炮,0,270,203905,203901,【物理】范围攻击不知从哪里搞到的\n披着骷髅的炮台。寻求更时髦的骸骨\n而徘徊着。,0,16
4.0,0,0,1,1000,恶魔加农炮群集,0,270,203906,203904,【物理】范围攻击成对行动的寄宿着\n灵魂的炮台。因为有两门，炮击频率\n也是一般炮台的两倍。,0,16
4.0,0,0,1,900,恶魔加农炮群集,0,270,203907,203904,【物理】范围攻击\n成对行动的寄宿着灵魂的\n炮台。因为有两门，炮击频率也是\n一般炮台的两倍。,0,16
3.5,0,0,1,650,小型狮鹫,0,270,204000,204000,【物理】近身攻击翅膀很小，还暂时\n无法飞行的狮鹫幼崽。,0,15
3.0,0,0,2,800,蕾虫,0,270,204100,204100,【魔法】范围攻击栖息在花田中，用\n特殊光线使猎物弱化的花蕾魔物。,0,17
4.0,0,0,2,450,女低音鸟,0,270,204200,204200,【回复】范围回复治愈的歌声能传到\n很远的地方鸟类魔物界的知名歌手。,0,0
2.5,0,0,1,750,毒食花,0,270,204300,204300,【物理】近身攻击用大大张开的嘴里\n积攒的溶解液来吞噬猎物。,0,15
2.5,0,0,1,3000,毒食花,0,270,204301,204300,【物理】近身攻击用大大张开的嘴里\n积攒的溶解液来吞噬猎物。,0,15
2.5,0,0,1,750,毒食花,0,270,204302,204302,【物理】近身攻击用大大张开的嘴里\n积攒的溶解液来吞噬猎物。,0,15
3.5,0,0,2,750,小恶魔,0,270,204400,204400,【魔法】中距离攻击用刚学会的魔法\n随手进行攻击的婴儿恶魔。,0,0
3.5,0,0,2,350,小恶魔,0,270,204403,204400,【魔法】中距离攻击用刚学会的魔法\n随手进行攻击的婴儿恶魔。,0,0
2.5,0,0,1,200,锤钳蟹,0,270,204500,204500,【物理】近身攻击有着巨大的爪子与\n坚固的壳，不论面对多高大的对手都\n会勇往直前的螃蟹魔物。,0,0
2.5,0,0,1,50,锤钳蟹,0,270,204501,204501,【物理】近身攻击有着巨大的爪子与\n坚固的壳，不论面对多高大的对手都\n会勇往直前的螃蟹魔物。,0,0
2.0,0,0,1,80,尖刺大螃蟹,0,270,204502,204502,【物理】近距离攻击\n以巨大的钳子与坚硬的壳为傲的\n蟹类魔物。其潜入沙中，耐心等待猎物的模样\n莫名的有些可爱。,0,0
2.0,0,0,1,20,尖刺大螃蟹,0,270,204503,204502,【物理】近距离攻击\n以巨大的钳子与坚硬的壳为傲的\n蟹类魔物。其潜入沙中，耐心等待猎物的模样\n莫名的有些可爱。,0,0
3.5,0,0,2,1080,魔法魔鬼鱼,0,270,204600,204600,【魔法】范围攻击用从头部的石头发\n出的超声波巧妙地进行狩猎的鱼类魔\n物。,0,0
4.0,0,0,1,200,覆叶野猪,0,270,204700,204700,【物理】近身攻击\n将坚硬树叶当做铠甲穿在身上，\n向敌人发起猛烈冲撞的大型野猪。\n然而，毕竟只是叶子，无法防御魔法。,0,0
4.0,0,0,1,200,沙铠野猪,0,270,204701,204701,【物理】近距离攻击\n身着用沙子强化的盔甲，\n是不惧丧命的一族的战士的证明。\n但说到底也只是沙子。无法抵抗魔法。,0,0
4.0,0,0,1,170,野猪,0,270,204702,204702,【物理】近身攻击\n生活于热带的原始大野猪。\n总是不停冲撞熔岩，\n最终习得了一招连铠甲都能咬碎的獠牙攻击。,0,0
4.0,0,0,1,200,覆叶野猪,0,270,204703,204703,【物理】近身攻击\n将坚硬树叶当做铠甲穿在身上，\n向敌人发起猛烈冲撞的大型野猪。\n然而，毕竟只是叶子，无法防御魔法。,0,0
1.8,0,0,1,150,废墟人偶,0,270,204800,204800,【物理】近身攻击跟随古代机械兵的\n古代机器人偶。没有自我意识，会不\n断战斗，直到自身崩解。,0,0
1.8,0,0,2,600,古代小兵,0,270,204801,204801,【物理】近身攻击跟随着古代机械兵的古代自动人\n偶。没有自我意识，会不断战斗，直到自身崩解。,0,0
1.8,0,0,2,350,古代小兵,0,270,204802,204801,【物理】近身攻击跟随着古代机械兵的古代自动人\n偶。没有自我意识，会不断战斗，直到自身崩解。,0,0
1.8,0,0,2,100,古代小兵,0,270,204803,204801,【物理】近身攻击跟随着古代机械兵的古代自动人\n偶。没有自我意识，会不断战斗，直到自身崩解。,0,0
0.5,0,0,1,100,小型哥布林,0,270,204900,204900,【物理】近距离攻击年幼而勇猛的见\n习哥布林。以灵敏的动作弥补力量的\n不足，奔走于前线。,0,0
2.5,0,0,1,500,剧毒蟾蜍,0,270,205000,205000,【物理】近距离攻击拟态成宝石来欺\n骗猎物并将其捕食，是有着带毒舌头\n的蛙类魔物。,0,0
2.5,0,0,1,500,剧毒蟾蜍,0,270,205001,205000,【物理】近距离攻击拟态成宝石来欺\n骗猎物并将其捕食，是有着带毒舌头\n的蛙类魔物。,0,0
2.5,0,0,1,550,槌子蛇,0,270,205100,205100,【物理】中距离攻击\n会从暗处扑上来，吸取魔力\n以填满肚子。是魔物蛇的变种。\n魔力越高则越容易被盯上。,0,13
2.5,0,0,1,550,槌子蛇,0,270,205101,205101,【物理】中距离攻击\n会从暗处扑上来，吸取魔力\n以填满肚子。是魔物蛇的变种。\n魔力越高则越容易被盯上。,0,13
2.0,0,0,1,650,海马骑士,0,270,205200,205200,【物理】中距离攻击夺去在海中溺水\n的骑士的长矛，警戒地盘的海马战士。,0,0
2.0,0,0,1,270,海马骑士,0,270,205201,205200,【物理】中距离攻击夺去在海中溺水\n的骑士的长矛，警戒地盘的海马战士。,0,0
3.0,0,0,2,550,寒冰雏鸟,0,270,205300,205300,【魔法】中距离攻击发射结冰的尾羽\n进行攻击的鸟类魔物。,0,0
3.0,0,0,2,450,寒冰雏鸟,0,1000,205301,205301,【魔法】中距离攻击发射结冰的尾羽\n进行攻击的鸟类魔物。,0,0
2.6,0,0,1,550,寒冰魔鱼,0,270,205400,205400,【物理】近身攻击凿开冰河筑巢，会\n无差别袭击靠近自己的一切的鱼之魔\n物。,0,12
2.4,0,0,1,550,熔岩魔鱼,0,270,205401,205401,【物理】近身攻击使用足以咬碎岩石\n的强韧下颚啃食破坏周围一切的鱼之\n魔物。,0,12
2.6,0,0,1,300,寒冰魔鱼,0,1000,205402,205402,【物理】近身攻击凿开冰河筑巢，会\n无差别袭击靠近自己的一切的鱼之魔\n物。,0,12
3.0,0,0,1,550,陆生魔蛇,0,270,205500,205500,【物理】中距离攻击挖洞静候猎物，\n用毒牙解决猎物的蛇的魔物。,0,14
3.0,0,0,1,545,陆生魔蛇,0,270,205501,205500,【物理】中距离攻击挖洞静候猎物，\n用毒牙解决猎物的蛇的魔物。,0,14
2.5,0,0,1,100,狂犬,0,270,205600,205600,【物理】近身攻击与主人一起被创造出来的凶暴的\n改造犬。拼命想要支撑起硕大的脑袋，所以表情狰\n狞，显得特别可怕。,0,0
2.5,0,0,1,100,狂犬,0,270,205601,205600,【物理】近身攻击\n与主人一起被创造出来的凶暴的\n改造犬。拼命想要支撑起硕大的脑袋，\n所以表情狰狞，显得特别可怕。,0,0
0.4,0,0,1,50,波尼,0,270,205700,205700,用于召唤地狱犬的怪物,0,15
0.4,0,0,1,50,波尼,0,270,205701,205701,用于召唤地狱犬的怪物,0,15
1.8,0,0,1,50,小雾精前卫,0,270,205800,205800,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,200,小雾精中卫,0,270,205801,205801,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,200,小雾精后卫,0,270,205802,205802,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,50,小雾精前卫,0,270,205803,205800,雾精召唤的怪物（强）,0,0
1.8,0,0,1,200,小雾精中卫,0,270,205804,205801,雾精召唤的怪物（强）,0,0
1.8,0,0,1,200,小雾精后卫,0,270,205805,205802,雾精召唤的怪物（强）,0,0
1.8,0,0,1,50,小雾精前卫,0,270,205806,205800,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,200,小雾精中卫,0,270,205807,205801,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,200,小雾精后卫,0,270,205808,205802,雾精召唤的怪物（弱）,0,0
1.8,0,0,1,50,小雾精前卫,0,270,205809,205800,雾精召唤的怪物（强）,0,0
1.8,0,0,1,200,小雾精中卫,0,270,205810,205801,雾精召唤的怪物（强）,0,0
1.8,0,0,1,200,小雾精后卫,0,270,205811,205802,雾精召唤的怪物（强）,0,0
2.5,0,0,0,200,愤怒章鱼,0,270,205900,205900,【物理】中距离攻击\n怒气冲冲的章鱼魔物。金属质的锚\n硬度极高，但也很重\n容易因此失去平衡而翻过来。,0,0
4.0,0,0,1,100,北海狮首领,0,270,206000,206000,【物理】近身攻击\n身体庞大，态度也很傲慢的北海首领。\n身上的厚重脂肪可以抵御\n敌人的物理攻击。,0,1
4.5,0,0,2,1080,魔杖智螺,0,270,206100,206100,【魔法】远距离攻击拥有冷气之魔法，\n一旦被吹到就会冻僵，令人丧失战意\n的鹦鹉螺型魔物。,0,7
3.5,0,0,1,650,水獭混混,0,270,206200,206200,【物理】中距离攻击扔出贝壳，趁人\n不备而攻击，坏心眼的北海小混混。,0,1
0.5,0,0,1,650,淘气海狸,0,270,206201,206201,【物理】中距离攻击\n会在一端把树砍倒的海狸。\n削下来的木片不仅会被拿去做成房子，\n还会被制成保护房屋的飞行道具。,0,1
10.0,0,0,0,1110,露娜支援舱,0,270,206300,206300,【回复】单体技能值回复建造露娜之塔时一起被制造出来的\n能量增幅器。将萦绕的魔力浓缩后提供给守护者，使其得到\n强化。,0,0
10.0,0,0,0,1800,露娜支援舱,0,270,206301,206300,【回复】单体技能值回复建造露娜之塔时一起被制造出来的\n能量增幅器。将萦绕的魔力浓缩后提供给守护者，使其得到\n强化。,0,0
2.5,0,0,1,100,独眼小佣,0,270,206400,206400,【物理】近身攻击侍奉独眼族国王的小仆从。非常\n喜欢国王陛下赏赐的金灿灿的装备。,0,0
2.5,0,0,1,100,独眼小佣,0,270,206401,206400,【物理】近身攻击\n侍奉独眼族国王的小仆从。\n非常喜欢国王陛下赏赐的\n金灿灿的装备。,0,0
2.5,0,0,1,100,长耳猴统率,0,300,206500,206500,【物理】近身攻击长耳猴进一步成长后的模样。自\n幼便不断投掷巨大岩石，粗壮的手臂可以使出威力\n巨大的打击技。,0,0
2.295,0,0,1,200,日和莉的暗影,0,270,206700,206700,拥有日和莉（新年）外貌的特殊魔物\n\n·对前方一名敌人造成物理伤害（大），同时对周\n　围小范围内所有敌人造成物理伤害（中）。\n·对前方一名敌人造成物理伤害（中）。\n·对前方一名敌人造成物理伤害（小），并中幅提\n　升自己的物理攻击力。,0,1
