hp_recovery_rate,promotion_level,magic_def,energy_recovery_rate,dodge,hp,wave_hp_recovery,physical_penetrate,life_steal,physical_critical,magic_critical,magic_penetrate,def,energy_reduce_rate,unit_id,magic_str,atk,accuracy,wave_energy_recovery
20.0,18,119.0,37.0,20.0,3980.0,2045.0,0.0,9.0,856.0,0.0,0.0,157.0,15.0,100101,0.0,6351.0,62.0,255.0
20.0,19,135.0,37.0,20.0,4075.0,2045.0,0.0,9.0,984.0,0.0,0.0,173.0,15.0,100101,0.0,7154.0,62.0,255.0
20.0,20,147.0,37.0,20.0,4270.0,2045.0,0.0,9.0,1065.0,0.0,0.0,203.0,15.0,100101,0.0,8017.0,62.0,255.0
20.0,21,157.0,37.0,20.0,4580.0,2045.0,0.0,9.0,1160.0,0.0,0.0,232.0,15.0,100101,0.0,8971.0,62.0,255.0
20.0,22,176.0,37.0,20.0,4790.0,2045.0,0.0,9.0,1262.0,0.0,0.0,259.0,15.0,100101,0.0,10078.0,62.0,255.0
20.0,23,199.0,37.0,20.0,4880.0,2045.0,0.0,9.0,1343.0,0.0,0.0,287.0,15.0,100101,0.0,11352.0,62.0,255.0
20.0,24,221.0,37.0,20.0,4970.0,2045.0,0.0,9.0,1416.0,0.0,0.0,308.0,15.0,100101,0.0,12783.0,62.0,255.0
20.0,25,247.0,37.0,20.0,5230.0,2045.0,0.0,9.0,1471.0,0.0,0.0,331.0,15.0,100101,0.0,14334.0,62.0,255.0
20.0,26,280.0,37.0,20.0,6835.0,2045.0,0.0,9.0,1495.0,0.0,0.0,359.0,15.0,100101,0.0,15835.0,62.0,255.0
20.0,27,313.0,37.0,20.0,8440.0,2045.0,0.0,9.0,1513.0,0.0,0.0,387.0,15.0,100101,0.0,17449.0,62.0,255.0
20.0,28,326.0,37.0,20.0,9225.0,2045.0,0.0,9.0,1538.0,0.0,0.0,400.0,15.0,100101,0.0,19454.0,62.0,255.0
20.0,29,341.0,37.0,20.0,10010.0,2045.0,0.0,9.0,1571.0,0.0,0.0,415.0,15.0,100101,0.0,21599.0,62.0,255.0
20.0,30,366.0,37.0,20.0,10270.0,2045.0,0.0,9.0,1614.0,0.0,0.0,440.0,15.0,100101,0.0,23844.0,62.0,255.0
20.0,31,376.0,37.0,20.0,10795.0,2045.0,0.0,9.0,1657.0,0.0,0.0,450.0,15.0,100101,0.0,26318.0,62.0,255.0
20.0,32,376.0,37.0,20.0,11845.0,2045.0,0.0,9.0,1690.0,0.0,0.0,450.0,15.0,100101,0.0,28948.0,62.0,255.0
20.0,33,387.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1729.0,0.0,0.0,461.0,15.0,100101,0.0,31669.0,62.0,255.0
20.0,34,409.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1775.0,0.0,0.0,483.0,15.0,100101,0.0,34498.0,62.0,255.0
20.0,35,431.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1821.0,0.0,0.0,505.0,15.0,100101,0.0,37455.0,62.0,255.0
20.0,36,454.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1867.0,0.0,0.0,528.0,15.0,100101,0.0,40512.0,62.0,255.0
20.0,37,478.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1913.0,0.0,0.0,552.0,15.0,100101,0.0,43669.0,62.0,255.0
20.0,38,502.0,37.0,20.0,12370.0,2045.0,0.0,9.0,1959.0,0.0,0.0,576.0,15.0,100101,0.0,46929.0,62.0,255.0
0.0,2,2.0,0.0,0.0,55.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100201,23.0,0.0,0.0,0.0
0.0,3,8.0,0.0,0.0,150.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100201,81.0,0.0,0.0,0.0
10.0,4,17.0,0.0,0.0,325.0,175.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100201,172.0,0.0,0.0,5.0
10.0,5,33.0,0.0,0.0,505.0,175.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100201,349.0,0.0,0.0,15.0
25.0,6,52.0,0.0,0.0,1035.0,175.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,100201,522.0,0.0,0.0,15.0
30.0,7,66.0,0.0,0.0,1395.0,175.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,100201,790.0,0.0,0.0,85.0
75.0,8,88.0,4.0,0.0,1675.0,175.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,100201,1089.0,0.0,0.0,85.0
110.0,9,109.0,9.0,0.0,2130.0,175.0,0.0,0.0,0.0,6.0,0.0,25.0,5.0,100201,1389.0,0.0,0.0,100.0
115.0,10,126.0,14.0,0.0,2490.0,395.0,0.0,0.0,0.0,30.0,0.0,28.0,10.0,100201,1758.0,0.0,0.0,135.0
129.0,11,145.0,14.0,0.0,2910.0,735.0,0.0,0.0,0.0,53.0,0.0,35.0,10.0,100201,2159.0,0.0,0.0,151.0
138.0,12,171.0,17.0,0.0,3430.0,955.0,0.0,0.0,0.0,63.0,0.0,56.0,12.0,100201,2471.0,0.0,0.0,177.0
140.0,13,209.0,20.0,0.0,3810.0,1175.0,0.0,0.0,0.0,63.0,0.0,94.0,14.0,100201,2705.0,0.0,0.0,199.0
146.0,14,251.0,20.0,0.0,3990.0,1295.0,0.0,0.0,0.0,71.0,0.0,133.0,16.0,100201,2982.0,0.0,0.0,199.0
151.0,15,293.0,20.0,0.0,4130.0,1395.0,0.0,0.0,0.0,81.0,0.0,168.0,18.0,100201,3310.0,0.0,0.0,199.0
157.0,16,336.0,20.0,0.0,4330.0,1495.0,0.0,0.0,0.0,81.0,0.0,208.0,18.0,100201,3658.0,0.0,0.0,199.0
158.0,17,384.0,20.0,3.0,4510.0,1495.0,0.0,0.0,0.0,81.0,0.0,250.0,18.0,100201,4008.0,0.0,0.0,214.0
158.0,18,441.0,20.0,6.0,4915.0,1495.0,0.0,0.0,0.0,81.0,0.0,295.0,18.0,100201,4353.0,0.0,0.0,229.0
158.0,19,506.0,20.0,6.0,5560.0,1590.0,0.0,0.0,0.0,81.0,0.0,349.0,18.0,100201,4719.0,0.0,0.0,229.0
158.0,20,568.0,20.0,6.0,6145.0,1685.0,0.0,0.0,0.0,93.0,0.0,406.0,18.0,100201,5176.0,0.0,0.0,229.0
158.0,21,646.0,20.0,6.0,6765.0,1685.0,0.0,0.0,0.0,93.0,0.0,472.0,18.0,100201,5618.0,0.0,0.0,229.0
158.0,22,725.0,20.0,6.0,8080.0,1685.0,0.0,0.0,0.0,93.0,0.0,541.0,18.0,100201,6142.0,0.0,0.0,229.0
158.0,23,810.0,20.0,6.0,9855.0,1685.0,0.0,0.0,0.0,93.0,0.0,619.0,18.0,100201,6707.0,0.0,0.0,229.0
158.0,24,901.0,20.0,6.0,11380.0,1685.0,0.0,0.0,0.0,93.0,0.0,704.0,18.0,100201,7347.0,0.0,0.0,229.0
158.0,25,987.0,20.0,6.0,12675.0,1685.0,0.0,0.0,0.0,103.0,0.0,784.0,18.0,100201,8212.0,0.0,0.0,229.0
158.0,26,1062.0,20.0,6.0,13965.0,1685.0,0.0,0.0,0.0,118.0,0.0,853.0,18.0,100201,9328.0,0.0,0.0,229.0
158.0,27,1132.0,20.0,6.0,15535.0,1685.0,0.0,0.0,0.0,128.0,0.0,920.0,18.0,100201,10563.0,0.0,0.0,229.0
158.0,28,1203.0,20.0,6.0,17300.0,1685.0,0.0,0.0,0.0,138.0,0.0,990.0,18.0,100201,11885.0,0.0,0.0,229.0
158.0,29,1279.0,20.0,6.0,19295.0,1685.0,0.0,0.0,0.0,148.0,0.0,1066.0,18.0,100201,13290.0,0.0,0.0,229.0
158.0,30,1360.0,20.0,6.0,21525.0,1685.0,0.0,0.0,0.0,158.0,0.0,1147.0,18.0,100201,14765.0,0.0,0.0,229.0
158.0,31,1443.0,20.0,6.0,23915.0,1685.0,0.0,0.0,0.0,168.0,0.0,1230.0,18.0,100201,16312.0,0.0,0.0,229.0
158.0,32,1528.0,20.0,6.0,26460.0,1685.0,0.0,0.0,0.0,178.0,0.0,1315.0,18.0,100201,17930.0,0.0,0.0,229.0
158.0,33,1615.0,20.0,6.0,29250.0,1685.0,0.0,0.0,0.0,188.0,0.0,1402.0,18.0,100201,19645.0,0.0,0.0,229.0
158.0,34,1704.0,20.0,6.0,32450.0,1685.0,0.0,0.0,0.0,198.0,0.0,1491.0,18.0,100201,21457.0,0.0,0.0,229.0
158.0,35,1794.0,20.0,6.0,36060.0,1685.0,0.0,0.0,0.0,208.0,0.0,1581.0,18.0,100201,23342.0,0.0,0.0,229.0
158.0,36,1885.0,20.0,6.0,40010.0,1685.0,0.0,0.0,0.0,218.0,0.0,1672.0,18.0,100201,25290.0,0.0,0.0,229.0
158.0,37,1978.0,20.0,6.0,44205.0,1685.0,0.0,0.0,0.0,228.0,0.0,1765.0,18.0,100201,27300.0,0.0,0.0,229.0
158.0,38,2072.0,20.0,6.0,48640.0,1685.0,0.0,0.0,0.0,238.0,0.0,1859.0,18.0,100201,29381.0,0.0,0.0,229.0
0.0,2,0.0,0.0,0.0,95.0,75.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100301,0.0,22.0,0.0,0.0
0.0,3,2.0,0.0,0.0,310.0,125.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,100301,0.0,71.0,0.0,0.0
0.0,4,4.0,0.0,0.0,685.0,155.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,100301,0.0,176.0,0.0,10.0
5.0,5,11.0,0.0,0.0,1435.0,155.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100301,0.0,289.0,0.0,20.0
5.0,6,13.0,0.0,0.0,2300.0,245.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,100301,0.0,499.0,0.0,35.0
5.0,7,15.0,0.0,0.0,3270.0,715.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,100301,0.0,746.0,0.0,35.0
5.0,8,23.0,0.0,0.0,4025.0,715.0,0.0,3.0,0.0,0.0,0.0,57.0,0.0,100301,0.0,1040.0,0.0,50.0
5.0,9,31.0,9.0,0.0,4630.0,1115.0,0.0,7.0,20.0,0.0,0.0,71.0,0.0,100301,0.0,1353.0,0.0,65.0
30.0,10,40.0,18.0,5.0,4990.0,1115.0,0.0,12.0,50.0,0.0,0.0,80.0,0.0,100301,0.0,1729.0,0.0,65.0
40.0,11,49.0,18.0,7.0,5410.0,1115.0,0.0,17.0,88.0,0.0,0.0,88.0,0.0,100301,0.0,2147.0,13.0,65.0
40.0,12,56.0,21.0,7.0,6180.0,1115.0,0.0,17.0,130.0,0.0,0.0,98.0,0.0,100301,0.0,2581.0,29.0,65.0
40.0,13,66.0,24.0,7.0,6670.0,1115.0,0.0,17.0,163.0,0.0,0.0,112.0,0.0,100301,0.0,3026.0,42.0,98.0
40.0,14,76.0,24.0,7.0,7050.0,1115.0,0.0,17.0,214.0,0.0,0.0,123.0,0.0,100301,0.0,3571.0,42.0,131.0
40.0,15,91.0,24.0,7.0,7420.0,1115.0,0.0,17.0,280.0,0.0,0.0,142.0,0.0,100301,0.0,4098.0,42.0,131.0
40.0,16,99.0,24.0,7.0,7560.0,1115.0,0.0,17.0,370.0,0.0,0.0,156.0,0.0,100301,0.0,4716.0,45.0,143.0
40.0,17,105.0,24.0,7.0,7750.0,1115.0,0.0,17.0,467.0,0.0,0.0,170.0,0.0,100301,0.0,5390.0,48.0,143.0
40.0,18,114.0,24.0,7.0,8015.0,1115.0,0.0,17.0,591.0,0.0,0.0,179.0,0.0,100301,0.0,6136.0,48.0,143.0
40.0,19,126.0,24.0,7.0,8340.0,1115.0,0.0,17.0,730.0,0.0,0.0,191.0,0.0,100301,0.0,6947.0,48.0,143.0
40.0,20,138.0,24.0,7.0,8665.0,1115.0,0.0,17.0,849.0,0.0,0.0,213.0,0.0,100301,0.0,7816.0,48.0,143.0
40.0,21,149.0,24.0,7.0,8950.0,1115.0,0.0,17.0,980.0,0.0,0.0,233.0,0.0,100301,0.0,8795.0,48.0,143.0
40.0,22,162.0,24.0,7.0,9165.0,1115.0,0.0,17.0,1098.0,0.0,0.0,249.0,0.0,100301,0.0,9978.0,48.0,143.0
40.0,23,181.0,24.0,7.0,9510.0,1115.0,0.0,17.0,1169.0,0.0,0.0,273.0,0.0,100301,0.0,11268.0,48.0,143.0
40.0,24,203.0,24.0,7.0,10190.0,1115.0,0.0,17.0,1230.0,0.0,0.0,296.0,0.0,100301,0.0,12629.0,48.0,143.0
40.0,25,222.0,24.0,7.0,10710.0,1115.0,0.0,17.0,1293.0,0.0,0.0,310.0,0.0,100301,0.0,14227.0,48.0,143.0
40.0,26,231.0,24.0,7.0,11535.0,1115.0,0.0,17.0,1332.0,0.0,0.0,316.0,0.0,100301,0.0,16038.0,48.0,143.0
40.0,27,238.0,24.0,7.0,12780.0,1115.0,0.0,17.0,1356.0,0.0,0.0,321.0,0.0,100301,0.0,17934.0,48.0,143.0
40.0,28,245.0,24.0,7.0,14025.0,1115.0,0.0,17.0,1380.0,0.0,0.0,326.0,0.0,100301,0.0,19958.0,48.0,143.0
40.0,29,260.0,24.0,7.0,15210.0,1115.0,0.0,17.0,1405.0,0.0,0.0,341.0,0.0,100301,0.0,22063.0,48.0,143.0
40.0,30,290.0,24.0,7.0,16130.0,1115.0,0.0,17.0,1431.0,0.0,0.0,371.0,0.0,100301,0.0,24192.0,48.0,143.0
40.0,31,305.0,24.0,7.0,17315.0,1115.0,0.0,17.0,1457.0,0.0,0.0,386.0,0.0,100301,0.0,26550.0,48.0,143.0
40.0,32,305.0,24.0,7.0,18865.0,1115.0,0.0,17.0,1483.0,0.0,0.0,386.0,0.0,100301,0.0,29128.0,48.0,143.0
40.0,33,305.0,24.0,7.0,20515.0,1115.0,0.0,17.0,1508.0,0.0,0.0,386.0,0.0,100301,0.0,31789.0,48.0,143.0
40.0,34,320.0,24.0,7.0,22000.0,1115.0,0.0,17.0,1532.0,0.0,0.0,401.0,0.0,100301,0.0,34482.0,48.0,143.0
40.0,35,335.0,24.0,7.0,23485.0,1115.0,0.0,17.0,1556.0,0.0,0.0,416.0,0.0,100301,0.0,37354.0,48.0,143.0
40.0,36,351.0,24.0,7.0,24970.0,1115.0,0.0,17.0,1580.0,0.0,0.0,432.0,0.0,100301,0.0,40325.0,48.0,143.0
40.0,37,383.0,24.0,7.0,26290.0,1115.0,0.0,17.0,1604.0,0.0,0.0,464.0,0.0,100301,0.0,43265.0,48.0,143.0
40.0,38,399.0,24.0,7.0,27800.0,1115.0,0.0,17.0,1628.0,0.0,0.0,480.0,0.0,100301,0.0,46437.0,48.0,143.0
0.0,2,0.0,0.0,1.0,65.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100401,0.0,10.0,0.0,10.0
0.0,3,0.0,0.0,2.0,185.0,200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100401,0.0,58.0,0.0,25.0
0.0,4,4.0,0.0,4.0,475.0,360.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100401,0.0,135.0,0.0,50.0
0.0,5,10.0,0.0,7.0,985.0,520.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,100401,0.0,243.0,0.0,80.0
0.0,6,14.0,0.0,11.0,1515.0,820.0,0.0,3.0,0.0,0.0,0.0,25.0,0.0,100401,0.0,429.0,0.0,95.0
0.0,7,20.0,0.0,15.0,1835.0,1425.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,100401,0.0,674.0,0.0,120.0
0.0,8,32.0,9.0,15.0,2735.0,1985.0,0.0,6.0,10.0,0.0,0.0,48.0,0.0,100401,0.0,912.0,0.0,145.0
0.0,9,48.0,23.0,22.0,3480.0,1985.0,0.0,6.0,30.0,0.0,0.0,67.0,5.0,100401,10.0,1157.0,0.0,145.0
15.0,10,68.0,28.0,27.0,4330.0,1985.0,0.0,6.0,60.0,0.0,0.0,87.0,10.0,100401,20.0,1392.0,0.0,145.0
35.0,11,88.0,28.0,32.0,5030.0,1985.0,0.0,6.0,86.0,0.0,0.0,105.0,10.0,100401,20.0,1695.0,3.0,145.0
55.0,12,106.0,28.0,39.0,5430.0,2085.0,0.0,6.0,108.0,0.0,0.0,126.0,10.0,100401,20.0,2037.0,6.0,145.0
55.0,13,125.0,28.0,41.0,5630.0,2285.0,0.0,6.0,151.0,0.0,0.0,155.0,10.0,100401,20.0,2425.0,6.0,170.0
57.0,14,144.0,28.0,41.0,5830.0,2285.0,0.0,6.0,215.0,0.0,0.0,189.0,10.0,100401,20.0,2845.0,6.0,170.0
57.0,15,167.0,28.0,43.0,5830.0,2285.0,0.0,6.0,289.0,0.0,0.0,212.0,12.0,100401,20.0,3314.0,9.0,170.0
57.0,16,190.0,28.0,45.0,5830.0,2385.0,0.0,6.0,378.0,0.0,0.0,232.0,12.0,100401,20.0,3815.0,17.0,170.0
57.0,17,209.0,28.0,45.0,5930.0,2535.0,0.0,6.0,465.0,0.0,0.0,263.0,12.0,100401,20.0,4337.0,22.0,170.0
57.0,18,237.0,28.0,50.0,5990.0,2685.0,0.0,6.0,573.0,0.0,0.0,291.0,12.0,100401,20.0,4884.0,22.0,170.0
57.0,19,266.0,28.0,52.0,6085.0,2685.0,0.0,6.0,655.0,0.0,0.0,323.0,12.0,100401,20.0,5553.0,22.0,170.0
57.0,20,293.0,28.0,52.0,6185.0,2780.0,0.0,6.0,696.0,0.0,0.0,368.0,12.0,100401,20.0,6292.0,22.0,170.0
57.0,21,333.0,28.0,52.0,6430.0,2780.0,0.0,6.0,740.0,0.0,0.0,419.0,12.0,100401,20.0,7020.0,22.0,170.0
57.0,22,383.0,28.0,52.0,6660.0,2780.0,0.0,6.0,788.0,0.0,0.0,468.0,12.0,100401,20.0,7888.0,22.0,170.0
57.0,23,428.0,28.0,52.0,7065.0,2780.0,0.0,6.0,817.0,0.0,0.0,519.0,12.0,100401,20.0,8928.0,22.0,170.0
57.0,24,474.0,28.0,52.0,7385.0,2780.0,0.0,6.0,835.0,0.0,0.0,566.0,12.0,100401,20.0,10110.0,22.0,170.0
57.0,25,523.0,28.0,52.0,7705.0,2780.0,0.0,6.0,867.0,0.0,0.0,611.0,12.0,100401,20.0,11440.0,22.0,170.0
57.0,26,576.0,28.0,52.0,8000.0,2780.0,0.0,6.0,902.0,0.0,0.0,656.0,12.0,100401,20.0,12898.0,22.0,170.0
57.0,27,624.0,28.0,52.0,8455.0,2780.0,0.0,6.0,929.0,0.0,0.0,697.0,12.0,100401,20.0,14495.0,22.0,170.0
57.0,28,669.0,28.0,52.0,9000.0,2780.0,0.0,6.0,963.0,0.0,0.0,740.0,12.0,100401,20.0,16211.0,22.0,170.0
57.0,29,751.0,28.0,52.0,10655.0,2780.0,0.0,6.0,986.0,0.0,0.0,822.0,12.0,100401,20.0,17592.0,22.0,170.0
57.0,30,842.0,28.0,52.0,12805.0,2780.0,0.0,6.0,1000.0,0.0,0.0,913.0,12.0,100401,20.0,18978.0,22.0,170.0
57.0,31,925.0,28.0,52.0,15175.0,2780.0,0.0,6.0,1014.0,0.0,0.0,996.0,12.0,100401,20.0,20529.0,22.0,170.0
57.0,32,995.0,28.0,52.0,17965.0,2780.0,0.0,6.0,1027.0,0.0,0.0,1066.0,12.0,100401,20.0,22273.0,22.0,170.0
57.0,33,1061.0,28.0,52.0,21205.0,2780.0,0.0,6.0,1039.0,0.0,0.0,1132.0,12.0,100401,20.0,24101.0,22.0,170.0
57.0,34,1143.0,28.0,52.0,24690.0,2780.0,0.0,6.0,1051.0,0.0,0.0,1214.0,12.0,100401,20.0,25905.0,22.0,170.0
57.0,35,1226.0,28.0,52.0,28585.0,2780.0,0.0,6.0,1063.0,0.0,0.0,1297.0,12.0,100401,20.0,27832.0,22.0,170.0
57.0,36,1310.0,28.0,52.0,32820.0,2780.0,0.0,6.0,1075.0,0.0,0.0,1381.0,12.0,100401,20.0,29820.0,22.0,170.0
57.0,37,1411.0,28.0,52.0,37135.0,2780.0,0.0,6.0,1087.0,0.0,0.0,1482.0,12.0,100401,20.0,31739.0,22.0,170.0
57.0,38,1497.0,28.0,52.0,41880.0,2780.0,0.0,6.0,1099.0,0.0,0.0,1568.0,12.0,100401,20.0,33853.0,22.0,170.0
0.0,2,0.0,0.0,0.0,80.0,125.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100501,0.0,12.0,0.0,0.0
0.0,3,0.0,0.0,1.0,350.0,225.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,100501,0.0,49.0,0.0,0.0
0.0,4,3.0,0.0,1.0,880.0,275.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,100501,0.0,110.0,0.0,15.0
0.0,5,11.0,0.0,7.0,1660.0,275.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,100501,0.0,173.0,0.0,15.0
0.0,6,19.0,0.0,7.0,2925.0,275.0,0.0,3.0,0.0,0.0,0.0,48.0,0.0,100501,0.0,265.0,0.0,15.0
0.0,7,29.0,0.0,7.0,3595.0,275.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,100501,0.0,476.0,0.0,40.0
0.0,8,49.0,0.0,7.0,4800.0,575.0,0.0,10.0,0.0,0.0,0.0,87.0,0.0,100501,0.0,615.0,0.0,40.0
15.0,9,72.0,5.0,12.0,5635.0,1025.0,0.0,14.0,0.0,0.0,0.0,104.0,0.0,100501,10.0,788.0,0.0,40.0
15.0,10,94.0,10.0,12.0,6415.0,1325.0,0.0,17.0,0.0,0.0,0.0,125.0,0.0,100501,20.0,1027.0,5.0,65.0
25.0,11,112.0,10.0,12.0,7295.0,1625.0,0.0,20.0,30.0,0.0,0.0,148.0,0.0,100501,20.0,1305.0,10.0,65.0
35.0,12,136.0,12.0,12.0,8135.0,1875.0,0.0,20.0,80.0,0.0,0.0,178.0,0.0,100501,20.0,1564.0,10.0,65.0
37.0,13,160.0,17.0,12.0,8655.0,2095.0,0.0,20.0,126.0,0.0,0.0,214.0,0.0,100501,20.0,1861.0,10.0,65.0
39.0,14,189.0,17.0,12.0,9045.0,2215.0,0.0,20.0,162.0,0.0,0.0,249.0,2.0,100501,20.0,2191.0,10.0,71.0
39.0,15,219.0,17.0,14.0,9235.0,2315.0,0.0,20.0,202.0,0.0,0.0,280.0,4.0,100501,20.0,2575.0,10.0,77.0
39.0,16,260.0,17.0,14.0,9365.0,2415.0,0.0,20.0,236.0,0.0,0.0,319.0,4.0,100501,20.0,2930.0,10.0,89.0
39.0,17,312.0,17.0,17.0,9655.0,2415.0,0.0,20.0,280.0,0.0,0.0,357.0,4.0,100501,20.0,3244.0,14.0,89.0
39.0,18,371.0,17.0,20.0,9935.0,2415.0,0.0,20.0,352.0,0.0,0.0,394.0,4.0,100501,20.0,3595.0,18.0,89.0
39.0,19,428.0,17.0,20.0,10305.0,2510.0,0.0,20.0,409.0,0.0,0.0,443.0,4.0,100501,20.0,4029.0,18.0,89.0
39.0,20,489.0,17.0,25.0,10590.0,2605.0,0.0,20.0,436.0,0.0,0.0,498.0,4.0,100501,20.0,4501.0,18.0,89.0
39.0,21,559.0,17.0,30.0,10800.0,2605.0,0.0,20.0,488.0,0.0,0.0,554.0,4.0,100501,20.0,5022.0,18.0,89.0
39.0,22,622.0,17.0,30.0,11290.0,2605.0,0.0,20.0,587.0,0.0,0.0,612.0,4.0,100501,20.0,5725.0,18.0,89.0
39.0,23,685.0,17.0,30.0,11605.0,2605.0,0.0,20.0,681.0,0.0,0.0,681.0,4.0,100501,20.0,6562.0,18.0,89.0
39.0,24,756.0,17.0,30.0,11925.0,2605.0,0.0,20.0,746.0,0.0,0.0,754.0,4.0,100501,20.0,7465.0,18.0,89.0
39.0,25,831.0,17.0,30.0,12540.0,2605.0,0.0,20.0,813.0,0.0,0.0,825.0,4.0,100501,20.0,8484.0,18.0,89.0
39.0,26,910.0,17.0,30.0,13290.0,2605.0,0.0,20.0,864.0,0.0,0.0,896.0,4.0,100501,20.0,9621.0,18.0,89.0
39.0,27,985.0,17.0,30.0,14290.0,2605.0,0.0,20.0,892.0,0.0,0.0,964.0,4.0,100501,20.0,10886.0,18.0,89.0
39.0,28,1064.0,17.0,30.0,17330.0,2605.0,0.0,20.0,911.0,0.0,0.0,1041.0,4.0,100501,20.0,11991.0,18.0,89.0
39.0,29,1153.0,17.0,30.0,22690.0,2605.0,0.0,20.0,921.0,0.0,0.0,1130.0,4.0,100501,20.0,12893.0,18.0,89.0
39.0,30,1247.0,17.0,30.0,28565.0,2605.0,0.0,20.0,931.0,0.0,0.0,1224.0,4.0,100501,20.0,13832.0,18.0,89.0
39.0,31,1345.0,17.0,30.0,34730.0,2605.0,0.0,20.0,941.0,0.0,0.0,1322.0,4.0,100501,20.0,14808.0,18.0,89.0
39.0,32,1446.0,17.0,30.0,41265.0,2605.0,0.0,20.0,951.0,0.0,0.0,1423.0,4.0,100501,20.0,15821.0,18.0,89.0
39.0,33,1549.0,17.0,30.0,48415.0,2605.0,0.0,20.0,961.0,0.0,0.0,1526.0,4.0,100501,20.0,16891.0,18.0,89.0
