reward_value_1,end_time,lock_all_text,visible_type,reward_id_3,story_quest_id,story_id,reward_type_1,story_end,start_time,pre_story_id,reward_id_1,sub_title,unlock_quest_id,reward_type_3,reward_value_2,title,love_level,force_unlock_time,requirement_id,force_unlock_time_2,reward_id_2,reward_value_3,reward_type_2,story_group_id,unknown_2,unknown_1,pre_story_id_2
20,2099/12/31 23:59:59,0,0,0,0,1002003,8,0,2020/01/01 0:00:00,1002002,91002,美食的正确吃法,0,0,0,优衣 第3话,3,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002004,8,0,2020/01/01 0:00:00,1002003,91002,想告诉身旁的你,0,0,0,优衣 第4话,4,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1002005,8,0,2020/01/01 0:00:00,1002004,91002,一点一点向前走……,0,0,0,优衣 第5话,5,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1002006,8,0,2020/01/01 0:00:00,1002005,91002,想了解真实的心情,0,0,0,优衣 第6话,6,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1002007,8,0,2020/01/01 0:00:00,1002006,91002,可靠的魔法？,0,0,0,优衣 第7话,7,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002008,8,0,2020/01/01 0:00:00,1002007,91002,不可思议的咒语,0,0,0,优衣 第8话,8,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002009,8,0,2022/02/28 09:00:00,1002008,91002,记录无人知晓的心事,0,0,0,优衣 第9话,9,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002010,8,0,2022/02/28 09:00:00,1002009,91002,信赖的前路在光芒之中,0,0,0,优衣 第10话,10,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002011,8,0,2022/02/28 09:00:00,1002010,91002,终将觉醒的心意,0,0,0,优衣 第11话,11,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1002012,8,0,2022/02/28 09:00:00,1002011,91002,献给想要守护之人的力量,0,0,0,优衣 第12话,12,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003001,8,0,2020/01/01 0:00:00,0,91002,可靠的指导者,0,0,0,怜 第1话,0,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003002,8,0,2020/01/01 0:00:00,1003001,91002,为了有朝一日互相扶持,0,0,0,怜 第2话,2,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003003,8,0,2020/01/01 0:00:00,1003002,91002,属于两个人的约定,0,0,0,怜 第3话,3,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003004,8,0,2020/01/01 0:00:00,1003003,91002,最真实的笑容,0,0,0,怜 第4话,4,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003005,8,0,2020/01/01 0:00:00,1003004,91002,海边的休息,0,0,0,怜 第5话,5,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003006,8,0,2020/01/01 0:00:00,1003005,91002,软弱的理由从何而来？,0,0,0,怜 第6话,6,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1003007,8,0,2020/01/01 0:00:00,1003006,91002,期限是太阳西沉之时,0,0,0,怜 第7话,7,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003008,8,0,2020/01/01 0:00:00,1003007,91002,驯服烈马,0,0,0,怜 第8话,8,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003009,8,0,2022/02/28 09:00:00,1003008,91002,能顺利钓上来吗？,0,0,0,怜 第9话,9,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003010,8,0,2022/02/28 09:00:00,1003009,91002,若剑能够拯救某些事物,0,0,0,怜 第10话,10,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003011,8,0,2022/02/28 09:00:00,1003010,91002,我的征途是汪洋大海,0,0,0,怜 第11话,11,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1003012,8,0,2022/02/28 09:00:00,1003011,91002,应该相信的事物,0,0,0,怜 第12话,12,2099/12/31 23:59:59,100301,2099/12/31 23:59:59,0,0,0,1003,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004001,8,0,2020/01/01 0:00:00,0,91002,喜欢恶作剧的女孩子登场！,0,0,0,未奏希 第1话,0,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004002,8,0,2020/01/01 0:00:00,1004001,91002,超级未奏希陷阱！,0,0,0,未奏希 第2话,2,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004003,8,0,2020/01/01 0:00:00,1004002,91002,对哥哥进行恶作剧特训！,0,0,0,未奏希 第3话,3,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004004,8,0,2020/01/01 0:00:00,1004003,91002,粗点心店派对！,0,0,0,未奏希 第4话,4,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004005,8,0,2020/01/01 0:00:00,1004004,91002,未奏希探险队出发！,0,0,0,未奏希 第5话,5,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004006,8,0,2020/01/01 0:00:00,1004005,91002,散发着危险气息的藏宝图！,0,0,0,未奏希 第6话,6,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1004007,8,0,2020/01/01 0:00:00,1004006,91002,哥哥救命！,0,0,0,未奏希 第7话,7,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004008,8,0,2020/01/01 0:00:00,1004007,91002,永远喜欢恶作剧！,0,0,0,未奏希 第8话,8,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004009,8,0,2023/02/28 11:00:00,1004008,91002,比宝物更重要的东西！,0,0,0,未奏希 第9话,9,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004010,8,0,2023/02/28 11:00:00,1004009,91002,抓住真正的犯人！,0,0,0,未奏希 第10话,10,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004011,8,0,2023/02/28 11:00:00,1004010,91002,寻找只属于二人的地方！,0,0,0,未奏希 第11话,11,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1004012,8,0,2023/02/28 11:00:00,1004011,91002,未奏希的恶作剧大作战！,0,0,0,未奏希 第12话,12,2099/12/31 23:59:59,100401,2099/12/31 23:59:59,0,0,0,1004,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005001,8,0,2020/10/09 11:00:00,0,91002,成为英雄的第一步！,0,0,0,茉莉 第1话,0,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005002,8,0,2020/10/09 11:00:00,1005001,91002,尾巴是装饰品！,0,0,0,茉莉 第2话,2,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005003,8,0,2020/10/09 11:00:00,1005002,91002,志同道合的伙伴！,0,0,0,茉莉 第3话,3,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005004,8,0,2020/10/09 11:00:00,1005003,91002,陪你约会！,0,0,0,茉莉 第4话,4,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005005,8,0,2020/10/09 11:00:00,1005004,91002,希望你能为我考虑！,0,0,0,茉莉 第5话,5,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005006,8,0,2020/10/09 11:00:00,1005005,91002,羞耻的变身！,0,0,0,茉莉 第6话,6,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1005007,8,0,2020/10/09 11:00:00,1005006,91002,拉钩约定！,0,0,0,茉莉 第7话,7,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005008,8,0,2020/10/09 11:00:00,1005007,91002,请握住我的手！,0,0,0,茉莉 第8话,8,2099/12/31 23:59:59,100501,2099/12/31 23:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005009,8,0,2025/05/30 11:00:00,1005008,91002,任何工作都很重要！,0,0,0,茉莉 第9话,9,2030/12/17 14:59:59,100501,2030/12/17 14:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005010,8,0,2025/05/30 11:00:00,1005009,91002,招募好辛苦！,0,0,0,茉莉 第10话,10,2030/12/17 14:59:59,100501,2030/12/17 14:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005011,8,0,2025/05/30 11:00:00,1005010,91002,努力成就未来！,0,0,0,茉莉 第11话,11,2030/12/17 14:59:59,100501,2030/12/17 14:59:59,0,0,0,1005,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1005012,8,0,2025/05/30 11:00:00,1005011,91002,这就是城市的英雄！,0,0,0,茉莉 第12话,12,2030/12/17 14:59:59,100501,2030/12/17 14:59:59,0,0,0,1005,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006001,8,0,2020/01/01 0:00:00,0,91002,茜里要掉下来了！,0,0,0,茜里 第1话,0,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006002,8,0,2020/01/01 0:00:00,1006001,91002,坚持不住了,0,0,0,茜里 第2话,2,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006003,8,0,2020/01/01 0:00:00,1006002,91002,拜托了，教练！,0,0,0,茜里 第3话,3,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006004,8,0,2020/01/01 0:00:00,1006003,91002,教得真好♪,0,0,0,茜里 第4话,4,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006005,8,0,2020/01/01 0:00:00,1006004,91002,哥哥好强壮♪,0,0,0,茜里 第5话,5,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006006,8,0,2020/01/01 0:00:00,1006005,91002,配合你的喜好哦♪,0,0,0,茜里 第6话,6,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1006007,8,0,2020/01/01 0:00:00,1006006,91002,和哥哥第一次的……,0,0,0,茜里 第7话,7,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006008,8,0,2020/01/01 0:00:00,1006007,91002,不是哥哥我才不要,0,0,0,茜里 第8话,8,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006009,8,0,2022/12/31 11:00:00,1006008,91002,为了成为最可爱的人,0,0,0,茜里 第9话,9,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006010,8,0,2022/12/31 11:00:00,1006009,91002,勉强自己变得成熟,0,0,0,茜里 第10话,10,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006011,8,0,2022/12/31 11:00:00,1006010,91002,将感谢之情寄托在音乐中,0,0,0,茜里 第11话,11,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1006012,8,0,2022/12/31 11:00:00,1006011,91002,原原本本的“自己”,0,0,0,茜里 第12话,12,2099/12/31 23:59:59,100601,2099/12/31 23:59:59,0,0,0,1006,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007001,8,0,2020/01/01 0:00:00,0,91002,提防幽灵少女,0,0,0,宫子 第1话,0,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007002,8,0,2020/01/01 0:00:00,1007001,91002,布丁布丁布丁～！,0,0,0,宫子 第2话,2,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007003,8,0,2020/01/01 0:00:00,1007002,91002,知道宫子过往的男人,0,0,0,宫子 第3话,3,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007004,8,0,2020/01/01 0:00:00,1007003,91002,幽灵的校园生活,0,0,0,宫子 第4话,4,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007005,8,0,2020/01/01 0:00:00,1007004,91002,复苏的记忆,0,0,0,宫子 第5话,5,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007006,8,0,2020/01/01 0:00:00,1007005,91002,布丁指路,0,0,0,宫子 第6话,6,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1007007,8,0,2020/01/01 0:00:00,1007006,91002,即将跟你分开！？,0,0,0,宫子 第7话,7,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007008,8,0,2020/01/01 0:00:00,1007007,91002,自制布丁天堂,0,0,0,宫子 第8话,8,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007009,8,0,2024/05/31 11:00:00,1007008,91002,幽灵少女，千钧一发！？,0,0,0,宫子 第9话,9,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007010,8,0,2024/05/31 11:00:00,1007009,91002,不是那样的,0,0,0,宫子 第10话,10,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007011,8,0,2024/05/31 11:00:00,1007010,91002,梦中闹剧,0,0,0,宫子 第11话,11,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1007012,8,0,2024/05/31 11:00:00,1007011,91002,任性幽灵的逆袭,0,0,0,宫子 第12话,12,2099/12/31 23:59:59,100701,2099/12/31 23:59:59,0,0,0,1007,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008001,8,0,2020/01/01 0:00:00,0,91002,最美不过初相遇,0,0,0,雪 第1话,0,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008002,8,0,2020/01/01 0:00:00,1008001,91002,华丽地工作！,0,0,0,雪 第2话,2,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008003,8,0,2020/01/01 0:00:00,1008002,91002,恶作剧之雨,0,0,0,雪 第3话,3,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008004,8,0,2020/01/01 0:00:00,1008003,91002,漫长的街拍,0,0,0,雪 第4话,4,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008005,8,0,2020/01/01 0:00:00,1008004,91002,踏上遥远的旅途！？,0,0,0,雪 第5话,5,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008006,8,0,2020/01/01 0:00:00,1008005,91002,究极的雪vs至高的雪,0,0,0,雪 第6话,6,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1008007,8,0,2020/01/01 0:00:00,1008006,91002,Wedding or Die？,0,0,0,雪 第7话,7,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008008,8,0,2020/01/01 0:00:00,1008007,91002,永远都不要放开我的手哦,0,0,0,雪 第8话,8,2099/12/31 23:59:59,100801,2099/12/31 23:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008009,8,0,2025/04/30 11:00:00,1008008,91002,寻求美的祝福,0,0,0,雪 第9话,9,2030/12/17 14:59:59,100801,2030/12/17 14:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008010,8,0,2025/04/30 11:00:00,1008009,91002,诱惑的夹缝间,0,0,0,雪 第10话,10,2030/12/17 14:59:59,100801,2030/12/17 14:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008011,8,0,2025/04/30 11:00:00,1008010,91002,虹村雪不会放过,0,0,0,雪 第11话,11,2030/12/17 14:59:59,100801,2030/12/17 14:59:59,0,0,0,1008,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1008012,8,0,2025/04/30 11:00:00,1008011,91002,所寻之物近在咫尺……,0,0,0,雪 第12话,12,2030/12/17 14:59:59,100801,2030/12/17 14:59:59,0,0,0,1008,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009001,8,0,2020/01/01 0:00:00,0,91002,邂逅、闪光的吉格鲁特！,0,0,0,杏奈 第1话,0,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009002,8,0,2020/01/01 0:00:00,1009001,91002,与盟友的共同战线,0,0,0,杏奈 第2话,2,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009003,8,0,2020/01/01 0:00:00,1009002,91002,失去的记忆的所在,0,0,0,杏奈 第3话,3,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009004,8,0,2020/01/01 0:00:00,1009003,91002,在异世界相遇的二人,0,0,0,杏奈 第4话,4,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009005,8,0,2020/01/01 0:00:00,1009004,91002,如魔狼般驰驱！,0,0,0,杏奈 第5话,5,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009006,8,0,2020/01/01 0:00:00,1009005,91002,取回失去的自我！,0,0,0,杏奈 第6话,6,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1009007,8,0,2020/01/01 0:00:00,1009006,91002,与“组织”的对决,0,0,0,杏奈 第7话,7,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009008,8,0,2020/01/01 0:00:00,1009007,91002,在前世的关系,0,0,0,杏奈 第8话,8,2099/12/31 23:59:59,100901,2099/12/31 23:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009009,8,0,2025/03/31 11:00:00,1009008,91002,无貌魔导书,0,0,0,杏奈 第9话,9,2030/12/17 14:59:59,100901,2030/12/17 14:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009010,8,0,2025/03/31 11:00:00,1009009,91002,英雄的假面,0,0,0,杏奈 第10话,10,2030/12/17 14:59:59,100901,2030/12/17 14:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009011,8,0,2025/03/31 11:00:00,1009010,91002,被期望的模样,0,0,0,杏奈 第11话,11,2030/12/17 14:59:59,100901,2030/12/17 14:59:59,0,0,0,1009,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1009012,8,0,2025/03/31 11:00:00,1009011,91002,魔瞳完全觉醒！,0,0,0,杏奈 第12话,12,2030/12/17 14:59:59,100901,2030/12/17 14:59:59,0,0,0,1009,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1010001,8,0,2020/01/01 0:00:00,0,91002,随车马颠簸的公主和王子,0,0,0,真步 第1话,0,2099/12/31 23:59:59,101001,2099/12/31 23:59:59,0,0,0,1010,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1010002,8,0,2020/01/01 0:00:00,1010001,91002,真步真步王国的公主,0,0,0,真步 第2话,2,2099/12/31 23:59:59,101001,2099/12/31 23:59:59,0,0,0,1010,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1010003,8,0,2020/01/01 0:00:00,1010002,91002,迎接的时间,0,0,0,真步 第3话,3,2099/12/31 23:59:59,101001,2099/12/31 23:59:59,0,0,0,1010,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1010004,8,0,2020/01/01 0:00:00,1010003,91002,梦与魔法的乐园,0,0,0,真步 第4话,4,2099/12/31 23:59:59,101001,2099/12/31 23:59:59,0,0,0,1010,1,1,0
